S0,sigma,T,Ref Price,Ref StdErr,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.15,0.06,20.16,0.06,0.01,20.00,0.06,-0.15,20.05,0.06,-0.10
80,0.20,2,21.27,0.10,21.00,0.08,-0.27,20.55,0.06,-0.72,21.03,0.08,-0.24
80,0.40,1,25.08,0.15,24.81,0.13,-0.27,24.43,0.12,-0.65,24.73,0.13,-0.36
80,0.40,2,29.41,0.17,28.55,0.16,-0.85,27.98,0.14,-1.42,28.31,0.15,-1.10
85,0.20,1,16.02,0.08,16.04,0.07,0.02,15.72,0.06,-0.30,15.91,0.07,-0.10
85,0.20,2,17.42,0.10,17.56,0.09,0.14,17.03,0.08,-0.39,17.48,0.09,0.06
85,0.40,1,22.31,0.15,21.86,0.14,-0.45,21.38,0.12,-0.93,21.68,0.14,-0.63
85,0.40,2,26.77,0.17,26.68,0.16,-0.09,25.74,0.14,-1.03,26.34,0.16,-0.43
90,0.20,1,12.48,0.08,12.46,0.07,-0.02,12.22,0.07,-0.25,12.37,0.07,-0.11
90,0.20,2,14.41,0.10,14.30,0.09,-0.10,14.02,0.08,-0.39,14.20,0.09,-0.20
90,0.40,1,19.28,0.14,19.19,0.13,-0.09,18.93,0.13,-0.35,19.15,0.13,-0.13
90,0.40,2,24.13,0.17,24.11,0.16,-0.02,23.69,0.15,-0.44,24.09,0.16,-0.04
95,0.20,1,9.43,0.07,9.36,0.07,-0.08,9.12,0.07,-0.32,9.27,0.07,-0.16
95,0.20,2,11.85,0.09,11.57,0.09,-0.27,11.27,0.08,-0.58,11.46,0.09,-0.39
95,0.40,1,16.99,0.14,17.16,0.13,0.17,16.70,0.13,-0.29,16.95,0.13,-0.04
95,0.40,2,22.32,0.18,21.75,0.16,-0.57,21.13,0.15,-1.19,21.61,0.16,-0.71
100,0.20,1,7.01,0.07,7.02,0.07,0.01,6.90,0.06,-0.11,6.97,0.07,-0.04
100,0.20,2,9.53,0.09,9.53,0.08,0.00,9.22,0.08,-0.31,9.41,0.08,-0.12
100,0.40,1,15.01,0.14,14.81,0.13,-0.20,14.46,0.12,-0.55,14.76,0.13,-0.25
100,0.40,2,20.26,0.17,19.87,0.16,-0.39,19.29,0.14,-0.97,19.73,0.16,-0.53
105,0.20,1,5.08,0.06,5.02,0.06,-0.06,4.95,0.06,-0.13,5.06,0.06,-0.02
105,0.20,2,7.62,0.08,7.44,0.08,-0.18,7.25,0.07,-0.37,7.43,0.08,-0.19
105,0.40,1,12.92,0.13,12.90,0.12,-0.03,12.59,0.12,-0.33,12.73,0.12,-0.20
105,0.40,2,18.41,0.16,18.39,0.15,-0.02,17.83,0.14,-0.58,18.16,0.15,-0.25
110,0.20,1,3.72,0.05,3.66,0.05,-0.06,3.57,0.05,-0.15,3.65,0.05,-0.07
110,0.20,2,6.05,0.08,6.03,0.07,-0.03,5.81,0.07,-0.24,5.97,0.07,-0.08
110,0.40,1,11.10,0.12,11.07,0.12,-0.03,10.86,0.11,-0.24,11.03,0.12,-0.07
110,0.40,2,16.81,0.16,16.95,0.15,0.13,16.41,0.14,-0.40,16.75,0.15,-0.06
115,0.20,1,2.61,0.05,2.57,0.04,-0.04,2.53,0.04,-0.08,2.55,0.04,-0.06
115,0.20,2,4.74,0.07,4.66,0.06,-0.09,4.48,0.06,-0.26,4.62,0.06,-0.12
115,0.40,1,9.82,0.12,9.76,0.11,-0.06,9.57,0.11,-0.25,9.70,0.11,-0.13
115,0.40,2,15.21,0.16,15.27,0.15,0.07,14.62,0.13,-0.59,15.04,0.15,-0.16
120,0.20,1,1.81,0.04,1.71,0.03,-0.10,1.66,0.03,-0.15,1.68,0.04,-0.13
120,0.20,2,3.79,0.06,3.73,0.06,-0.05,3.65,0.05,-0.14,3.72,0.06,-0.07
120,0.40,1,8.44,0.11,8.54,0.11,0.11,8.26,0.10,-0.18,8.42,0.10,-0.02
120,0.40,2,14.08,0.15,13.85,0.14,-0.24,13.47,0.13,-0.61,13.78,0.14,-0.31
