S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,LGBM Price,LGBM StdErr,LGBM Bias,LR Price,LR StdErr,LR Bias
80,0.20,1,20.37,0.05,20.36,0.07,-0.01,20.85,0.06,0.49,20.36,0.07,-0.00
80,0.20,2,21.26,0.08,21.24,0.09,-0.02,21.69,0.08,0.43,21.24,0.09,-0.02
80,0.40,1,25.18,0.12,25.03,0.14,-0.15,25.55,0.13,0.37,25.04,0.14,-0.14
80,0.40,2,29.06,0.15,29.23,0.16,0.17,29.71,0.15,0.65,29.27,0.16,0.21
85,0.20,1,16.11,0.06,16.24,0.07,0.14,16.61,0.07,0.50,16.25,0.07,0.14
85,0.20,2,17.62,0.08,17.77,0.10,0.15,18.10,0.09,0.48,17.76,0.10,0.14
85,0.40,1,22.32,0.12,22.05,0.13,-0.27,22.54,0.13,0.22,22.05,0.13,-0.27
85,0.40,2,26.83,0.15,27.00,0.17,0.17,27.43,0.16,0.60,27.00,0.17,0.16
90,0.20,1,12.59,0.07,12.53,0.07,-0.06,12.87,0.07,0.28,12.51,0.07,-0.08
90,0.20,2,14.67,0.08,14.51,0.09,-0.15,14.87,0.09,0.20,14.52,0.09,-0.14
90,0.40,1,19.39,0.12,19.51,0.13,0.12,20.00,0.13,0.61,19.52,0.13,0.13
90,0.40,2,24.48,0.14,24.64,0.17,0.16,25.08,0.16,0.60,24.65,0.17,0.16
95,0.20,1,9.57,0.06,9.55,0.07,-0.02,9.86,0.07,0.29,9.54,0.07,-0.03
95,0.20,2,11.82,0.08,11.84,0.09,0.02,12.23,0.09,0.41,11.83,0.09,0.00
95,0.40,1,16.92,0.11,17.06,0.13,0.14,17.52,0.13,0.59,17.06,0.13,0.14
95,0.40,2,22.29,0.14,22.08,0.16,-0.21,22.70,0.16,0.41,22.12,0.16,-0.17
100,0.20,1,7.16,0.06,7.17,0.07,0.01,7.49,0.07,0.33,7.16,0.07,0.00
100,0.20,2,9.57,0.07,9.59,0.09,0.02,9.97,0.08,0.40,9.56,0.08,-0.01
100,0.40,1,14.82,0.11,14.79,0.12,-0.03,15.31,0.12,0.49,14.79,0.12,-0.03
100,0.40,2,20.06,0.14,20.51,0.16,0.44,21.05,0.16,0.98,20.51,0.16,0.45
105,0.20,1,5.16,0.05,5.18,0.06,0.02,5.46,0.06,0.30,5.16,0.06,0.00
105,0.20,2,7.57,0.07,7.84,0.08,0.27,8.15,0.08,0.58,7.85,0.08,0.28
105,0.40,1,12.92,0.10,13.01,0.12,0.09,13.43,0.12,0.51,12.99,0.12,0.07
105,0.40,2,18.49,0.14,18.52,0.16,0.03,18.96,0.15,0.46,18.49,0.16,-0.00
110,0.20,1,3.65,0.04,3.66,0.05,0.01,3.92,0.05,0.27,3.66,0.05,0.01
110,0.20,2,6.10,0.06,6.00,0.07,-0.10,6.36,0.08,0.26,6.04,0.07,-0.07
110,0.40,1,11.30,0.10,11.23,0.12,-0.07,11.66,0.12,0.36,11.23,0.12,-0.07
110,0.40,2,16.89,0.13,16.92,0.15,0.02,17.47,0.15,0.58,16.90,0.15,0.00
115,0.20,1,2.59,0.04,2.54,0.04,-0.04,2.81,0.05,0.22,2.56,0.04,-0.02
115,0.20,2,4.83,0.06,4.94,0.07,0.11,5.24,0.07,0.41,4.93,0.07,0.10
115,0.40,1,9.75,0.10,9.96,0.11,0.21,10.40,0.11,0.65,9.95,0.11,0.20
115,0.40,2,15.65,0.13,15.42,0.15,-0.22,16.01,0.15,0.37,15.43,0.15,-0.22
120,0.20,1,1.75,0.03,1.83,0.04,0.09,2.01,0.04,0.27,1.81,0.04,0.07
120,0.20,2,3.78,0.05,3.82,0.06,0.04,4.19,0.06,0.42,3.84,0.06,0.06
120,0.40,1,8.44,0.09,8.43,0.10,-0.01,8.89,0.11,0.45,8.45,0.10,0.01
120,0.40,2,14.00,0.12,14.25,0.15,0.25,14.85,0.15,0.86,14.25,0.15,0.25
