S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,LGBM Price,LGBM StdErr,LGBM Bias,LR Price,LR StdErr,LR Bias
80,0.20,1,20.13,0.06,20.24,0.07,0.10,20.63,0.08,0.49,20.23,0.07,0.10
80,0.20,2,21.29,0.08,21.23,0.09,-0.06,21.62,0.09,0.32,21.25,0.09,-0.04
80,0.40,1,25.14,0.13,25.06,0.15,-0.09,25.53,0.15,0.39,25.07,0.15,-0.07
80,0.40,2,29.45,0.15,28.74,0.17,-0.71,29.43,0.17,-0.02,28.75,0.17,-0.70
85,0.20,1,16.00,0.07,16.14,0.08,0.15,16.48,0.08,0.48,16.15,0.08,0.15
85,0.20,2,17.46,0.09,17.65,0.10,0.18,18.10,0.10,0.64,17.63,0.10,0.17
85,0.40,1,22.22,0.13,21.93,0.15,-0.29,22.57,0.15,0.35,21.93,0.15,-0.29
85,0.40,2,26.65,0.15,26.93,0.18,0.28,27.45,0.18,0.81,26.92,0.18,0.28
90,0.20,1,12.42,0.07,12.53,0.08,0.11,12.81,0.08,0.40,12.52,0.08,0.10
90,0.20,2,14.37,0.09,14.43,0.10,0.05,14.79,0.10,0.41,14.42,0.10,0.05
90,0.40,1,19.27,0.12,19.37,0.14,0.10,19.86,0.14,0.60,19.37,0.14,0.11
90,0.40,2,24.22,0.15,24.44,0.17,0.22,25.06,0.18,0.84,24.43,0.17,0.20
95,0.20,1,9.50,0.07,9.36,0.08,-0.14,9.68,0.08,0.18,9.34,0.08,-0.15
95,0.20,2,11.74,0.08,11.67,0.10,-0.07,12.10,0.10,0.36,11.68,0.10,-0.06
95,0.40,1,17.13,0.12,17.29,0.14,0.16,17.65,0.14,0.52,17.29,0.14,0.16
95,0.40,2,22.25,0.15,22.00,0.17,-0.25,22.58,0.17,0.33,21.98,0.17,-0.27
100,0.20,1,7.03,0.06,7.07,0.07,0.04,7.36,0.07,0.33,7.08,0.07,0.05
100,0.20,2,9.61,0.08,9.63,0.09,0.02,9.94,0.09,0.33,9.62,0.09,0.01
100,0.40,1,14.97,0.12,14.94,0.14,-0.03,15.29,0.14,0.32,14.94,0.14,-0.03
100,0.40,2,20.14,0.14,20.12,0.17,-0.02,20.70,0.17,0.56,20.12,0.17,-0.02
105,0.20,1,5.05,0.05,5.12,0.06,0.08,5.39,0.07,0.34,5.13,0.06,0.09
105,0.20,2,7.65,0.07,7.59,0.08,-0.05,7.95,0.09,0.30,7.60,0.08,-0.05
105,0.40,1,12.95,0.11,12.98,0.13,0.03,13.39,0.13,0.45,12.98,0.13,0.03
105,0.40,2,18.52,0.14,18.57,0.16,0.05,19.09,0.16,0.57,18.57,0.16,0.05
110,0.20,1,3.68,0.05,3.69,0.05,0.01,3.90,0.06,0.22,3.69,0.06,0.01
110,0.20,2,6.07,0.07,6.11,0.08,0.05,6.45,0.08,0.38,6.10,0.08,0.03
110,0.40,1,11.22,0.11,11.23,0.13,0.01,11.62,0.13,0.40,11.23,0.13,0.01
110,0.40,2,16.88,0.14,17.08,0.16,0.20,17.66,0.16,0.78,17.07,0.16,0.19
115,0.20,1,2.60,0.04,2.63,0.05,0.02,2.77,0.05,0.17,2.61,0.05,0.01
115,0.20,2,4.78,0.06,4.73,0.07,-0.05,5.02,0.07,0.24,4.71,0.07,-0.07
115,0.40,1,9.84,0.10,9.86,0.12,0.02,10.22,0.12,0.38,9.84,0.12,0.00
115,0.40,2,15.30,0.14,15.39,0.16,0.08,15.97,0.16,0.67,15.38,0.16,0.08
120,0.20,1,1.79,0.03,1.75,0.04,-0.04,1.87,0.04,0.08,1.75,0.04,-0.04
120,0.20,2,3.80,0.05,3.77,0.06,-0.03,4.07,0.07,0.27,3.76,0.06,-0.03
120,0.40,1,8.50,0.09,8.62,0.11,0.13,8.88,0.11,0.39,8.62,0.11,0.13
120,0.40,2,13.94,0.13,14.01,0.15,0.07,14.60,0.15,0.66,14.01,0.15,0.07
