S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.37,0.05,20.36,0.07,-0.01,20.70,0.05,0.33,20.05,0.02,-0.32,20.90,0.06,0.53,20.08,0.02,-0.28
80,0.20,2,21.26,0.08,21.24,0.09,-0.02,21.60,0.07,0.34,20.00,0.02,-1.26,21.73,0.08,0.47,20.12,0.02,-1.14
80,0.40,1,25.18,0.12,25.03,0.14,-0.15,25.39,0.13,0.21,22.74,0.07,-2.44,25.59,0.13,0.40,24.20,0.10,-0.98
80,0.40,2,29.06,0.15,29.23,0.16,0.17,29.54,0.15,0.48,25.22,0.08,-3.85,29.71,0.15,0.65,26.94,0.11,-2.12
85,0.20,1,16.11,0.06,16.24,0.07,0.14,16.50,0.06,0.39,15.10,0.02,-1.01,16.60,0.07,0.50,15.56,0.04,-0.55
85,0.20,2,17.62,0.08,17.77,0.10,0.15,17.93,0.08,0.31,15.52,0.03,-2.10,18.09,0.09,0.47,16.35,0.05,-1.27
85,0.40,1,22.32,0.12,22.05,0.13,-0.27,22.28,0.13,-0.04,20.10,0.08,-2.22,22.55,0.13,0.23,21.35,0.10,-0.97
85,0.40,2,26.83,0.15,27.00,0.17,0.17,27.10,0.15,0.26,23.40,0.09,-3.43,27.42,0.16,0.59,25.14,0.12,-1.69
90,0.20,1,12.59,0.07,12.53,0.07,-0.06,12.67,0.07,0.07,11.26,0.04,-1.33,12.90,0.07,0.31,12.11,0.05,-0.48
90,0.20,2,14.67,0.08,14.51,0.09,-0.15,14.62,0.08,-0.04,12.59,0.05,-2.08,14.90,0.09,0.23,13.39,0.06,-1.28
90,0.40,1,19.39,0.12,19.51,0.13,0.12,19.63,0.12,0.23,17.72,0.09,-1.68,20.01,0.13,0.61,18.92,0.11,-0.47
90,0.40,2,24.48,0.14,24.64,0.17,0.16,24.79,0.16,0.31,21.31,0.10,-3.17,25.13,0.16,0.65,22.85,0.12,-1.63
95,0.20,1,9.57,0.06,9.55,0.07,-0.02,9.63,0.07,0.06,8.55,0.04,-1.02,9.87,0.07,0.29,9.23,0.06,-0.34
95,0.20,2,11.82,0.08,11.84,0.09,0.02,11.91,0.08,0.09,10.06,0.05,-1.77,12.28,0.09,0.45,10.94,0.06,-0.88
95,0.40,1,16.92,0.11,17.06,0.13,0.14,17.18,0.12,0.25,15.48,0.09,-1.45,17.52,0.13,0.59,16.68,0.11,-0.25
95,0.40,2,22.29,0.14,22.08,0.16,-0.21,22.36,0.15,0.07,19.18,0.10,-3.11,22.71,0.16,0.42,21.08,0.13,-1.21
100,0.20,1,7.16,0.06,7.17,0.07,0.01,7.24,0.06,0.07,6.55,0.05,-0.61,7.53,0.07,0.36,7.08,0.06,-0.09
100,0.20,2,9.57,0.07,9.59,0.09,0.02,9.70,0.08,0.13,8.36,0.05,-1.21,10.01,0.08,0.44,9.13,0.07,-0.44
100,0.40,1,14.82,0.11,14.79,0.12,-0.03,14.98,0.12,0.16,13.76,0.09,-1.06,15.30,0.12,0.48,14.68,0.11,-0.14
100,0.40,2,20.06,0.14,20.51,0.16,0.44,20.65,0.15,0.58,17.48,0.10,-2.58,21.08,0.15,1.02,19.38,0.13,-0.68
105,0.20,1,5.16,0.05,5.18,0.06,0.02,5.19,0.05,0.03,4.82,0.05,-0.34,5.46,0.06,0.30,5.23,0.06,0.07
105,0.20,2,7.57,0.07,7.84,0.08,0.27,7.80,0.07,0.23,6.74,0.05,-0.83,8.18,0.08,0.61,7.56,0.07,-0.01
105,0.40,1,12.92,0.10,13.01,0.12,0.09,13.08,0.11,0.16,12.05,0.09,-0.87,13.48,0.12,0.56,12.97,0.11,0.05
105,0.40,2,18.49,0.14,18.52,0.16,0.03,18.48,0.14,-0.02,16.07,0.10,-2.42,19.02,0.15,0.52,17.59,0.13,-0.91
110,0.20,1,3.65,0.04,3.66,0.05,0.01,3.62,0.05,-0.03,3.44,0.04,-0.21,3.95,0.05,0.30,3.81,0.05,0.16
110,0.20,2,6.10,0.06,6.00,0.07,-0.10,5.95,0.06,-0.15,5.37,0.05,-0.74,6.40,0.07,0.30,5.92,0.06,-0.19
110,0.40,1,11.30,0.10,11.23,0.12,-0.07,11.21,0.11,-0.09,10.41,0.09,-0.89,11.71,0.12,0.41,11.32,0.11,0.02
110,0.40,2,16.89,0.13,16.92,0.15,0.02,16.89,0.14,-0.00,14.72,0.10,-2.17,17.56,0.15,0.66,16.36,0.13,-0.53
115,0.20,1,2.59,0.04,2.54,0.04,-0.04,2.51,0.04,-0.07,2.44,0.04,-0.14,2.86,0.05,0.27,2.74,0.05,0.16
115,0.20,2,4.83,0.06,4.94,0.07,0.11,4.82,0.06,-0.01,4.28,0.05,-0.54,5.29,0.07,0.46,4.91,0.06,0.08
115,0.40,1,9.75,0.10,9.96,0.11,0.21,9.84,0.10,0.09,9.22,0.09,-0.53,10.45,0.11,0.70,10.03,0.10,0.28
115,0.40,2,15.65,0.13,15.42,0.15,-0.22,15.45,0.14,-0.20,13.60,0.10,-2.05,16.04,0.15,0.39,14.79,0.12,-0.86
120,0.20,1,1.75,0.03,1.83,0.04,0.09,1.76,0.03,0.01,1.80,0.03,0.05,2.05,0.04,0.30,1.98,0.04,0.23
120,0.20,2,3.78,0.05,3.82,0.06,0.04,3.77,0.05,-0.00,3.48,0.04,-0.30,4.25,0.06,0.48,4.00,0.06,0.22
120,0.40,1,8.44,0.09,8.43,0.10,-0.01,8.35,0.09,-0.10,7.96,0.08,-0.49,8.95,0.11,0.50,8.62,0.10,0.18
120,0.40,2,14.00,0.12,14.25,0.15,0.25,14.19,0.14,0.19,12.44,0.10,-1.55,14.88,0.15,0.88,13.88,0.13,-0.11
