S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.27,0.05,20.34,0.07,0.07,20.66,0.06,0.39,20.03,0.04,-0.24,20.77,0.07,0.50,20.33,0.05,0.07
80,0.20,2,21.16,0.08,21.18,0.09,0.02,21.55,0.08,0.39,20.52,0.05,-0.65,21.63,0.09,0.46,21.22,0.07,0.05
80,0.40,1,25.06,0.12,25.19,0.14,0.13,25.56,0.14,0.50,24.68,0.11,-0.38,25.80,0.14,0.75,25.33,0.13,0.27
80,0.40,2,29.35,0.15,29.33,0.17,-0.02,29.57,0.16,0.22,28.17,0.12,-1.18,30.02,0.17,0.68,29.46,0.15,0.11
85,0.20,1,16.13,0.07,16.15,0.07,0.02,16.38,0.07,0.25,15.76,0.05,-0.37,16.52,0.08,0.39,16.18,0.07,0.06
85,0.20,2,17.61,0.08,17.40,0.09,-0.21,17.75,0.09,0.14,16.76,0.06,-0.86,17.94,0.09,0.32,17.37,0.08,-0.24
85,0.40,1,22.05,0.12,22.21,0.14,0.15,22.40,0.14,0.34,21.50,0.11,-0.56,22.71,0.14,0.65,22.37,0.14,0.31
85,0.40,2,26.57,0.15,26.83,0.17,0.26,27.07,0.16,0.49,25.79,0.13,-0.78,27.52,0.17,0.95,26.91,0.16,0.33
90,0.20,1,12.42,0.07,12.50,0.08,0.09,12.61,0.07,0.19,12.30,0.06,-0.12,12.86,0.08,0.44,12.62,0.07,0.20
90,0.20,2,14.29,0.08,14.35,0.10,0.06,14.55,0.09,0.26,13.73,0.07,-0.56,14.85,0.10,0.56,14.41,0.08,0.11
90,0.40,1,19.53,0.12,19.41,0.14,-0.12,19.60,0.13,0.07,19.02,0.12,-0.51,19.85,0.14,0.31,19.64,0.13,0.10
90,0.40,2,24.12,0.14,24.46,0.17,0.35,24.72,0.16,0.60,23.62,0.13,-0.50,25.11,0.17,1.00,24.71,0.16,0.60
95,0.20,1,9.57,0.07,9.35,0.07,-0.22,9.48,0.07,-0.09,9.19,0.06,-0.38,9.70,0.08,0.12,9.53,0.07,-0.05
