S0,sigma,T,Ref Price,Ref StdErr,LGBM Price,LGBM StdErr,LGBM Bias,XGB Price,XGB StdErr,XGB Bias
80,0.20,1,20.27,0.06,20.22,0.05,-0.04,20.26,0.05,-0.01
80,0.20,2,21.16,0.09,20.89,0.07,-0.26,21.01,0.07,-0.15
80,0.40,1,25.17,0.14,24.92,0.12,-0.26,24.85,0.12,-0.32
80,0.40,2,29.38,0.17,28.78,0.14,-0.60,28.64,0.14,-0.75
85,0.20,1,16.11,0.08,15.94,0.06,-0.18,15.99,0.06,-0.12
85,0.20,2,17.51,0.09,17.22,0.08,-0.29,17.23,0.08,-0.28
85,0.40,1,22.03,0.14,21.78,0.13,-0.24,21.86,0.13,-0.17
85,0.40,2,26.56,0.17,26.37,0.15,-0.19,26.30,0.15,-0.26
90,0.20,1,12.39,0.07,12.30,0.07,-0.09,12.32,0.07,-0.07
90,0.20,2,14.28,0.10,14.18,0.08,-0.10,14.16,0.08,-0.12
90,0.40,1,19.53,0.14,19.12,0.13,-0.40,19.14,0.13,-0.38
90,0.40,2,24.09,0.17,24.04,0.15,-0.05,23.98,0.15,-0.11
95,0.20,1,9.58,0.08,9.19,0.06,-0.38,9.26,0.07,-0.32
95,0.20,2,11.90,0.09,11.45,0.08,-0.44,11.46,0.08,-0.44
95,0.40,1,17.01,0.14,16.84,0.12,-0.17,16.92,0.12,-0.09
95,0.40,2,21.95,0.17,21.71,0.15,-0.25,21.75,0.15,-0.20
100,0.20,1,7.13,0.07,6.92,0.06,-0.21,6.95,0.06,-0.17
100,0.20,2,9.61,0.08,9.28,0.08,-0.33,9.39,0.08,-0.21
100,0.40,1,14.83,0.13,14.54,0.12,-0.30,14.51,0.12,-0.32
100,0.40,2,20.36,0.16,20.25,0.15,-0.11,20.19,0.15,-0.17
105,0.20,1,5.01,0.06,5.10,0.06,0.09,5.14,0.06,0.13
105,0.20,2,7.61,0.08,7.46,0.07,-0.14,7.48,0.07,-0.13
105,0.40,1,12.88,0.12,12.74,0.11,-0.14,12.77,0.11,-0.11
105,0.40,2,18.50,0.16,18.03,0.14,-0.47,17.99,0.14,-0.51
110,0.20,1,3.69,0.05,3.68,0.05,-0.00,3.69,0.05,-0.00
110,0.20,2,5.96,0.07,5.86,0.07,-0.10,5.82,0.06,-0.14
110,0.40,1,10.97,0.12,10.96,0.11,-0.01,10.94,0.11,-0.03
110,0.40,2,16.80,0.15,16.38,0.14,-0.41,16.37,0.14,-0.42
115,0.20,1,2.65,0.05,2.51,0.04,-0.14,2.50,0.04,-0.15
115,0.20,2,4.77,0.06,4.77,0.06,0.00,4.77,0.06,-0.00
115,0.40,1,9.81,0.11,9.69,0.10,-0.13,9.73,0.10,-0.09
115,0.40,2,15.43,0.15,15.11,0.14,-0.32,15.07,0.14,-0.35
120,0.20,1,1.81,0.04,1.73,0.03,-0.08,1.72,0.03,-0.09
120,0.20,2,3.66,0.06,3.53,0.05,-0.13,3.54,0.05,-0.12
120,0.40,1,8.49,0.11,8.35,0.10,-0.15,8.33,0.10,-0.17
120,0.40,2,13.80,0.15,13.47,0.13,-0.33,13.44,0.13,-0.36
