S0,sigma,T,Ref Price,Ref StdErr,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.27,0.06,20.11,0.05,-0.16,20.00,0.04,-0.27,20.00,0.04,-0.27
80,0.20,2,21.16,0.09,20.83,0.06,-0.33,20.20,0.04,-0.96,20.48,0.05,-0.68
80,0.40,1,25.17,0.14,24.95,0.12,-0.23,24.01,0.10,-1.17,24.70,0.12,-0.47
80,0.40,2,29.38,0.17,28.84,0.15,-0.54,27.45,0.12,-1.93,28.55,0.14,-0.83
85,0.20,1,16.11,0.08,15.94,0.06,-0.17,15.49,0.04,-0.62,15.88,0.06,-0.24
85,0.20,2,17.51,0.09,17.22,0.07,-0.29,16.49,0.06,-1.02,16.85,0.07,-0.66
85,0.40,1,22.03,0.14,21.85,0.13,-0.18,20.96,0.11,-1.07,21.44,0.12,-0.58
85,0.40,2,26.56,0.17,26.42,0.15,-0.14,25.12,0.12,-1.44,25.94,0.14,-0.62
90,0.20,1,12.39,0.07,12.29,0.07,-0.10,11.85,0.06,-0.54,12.17,0.06,-0.22
90,0.20,2,14.28,0.10,14.12,0.08,-0.15,13.43,0.06,-0.84,13.85,0.07,-0.43
90,0.40,1,19.53,0.14,19.16,0.13,-0.37,18.36,0.11,-1.16,18.92,0.12,-0.61
90,0.40,2,24.09,0.17,24.04,0.15,-0.05,22.86,0.13,-1.23,23.68,0.14,-0.41
95,0.20,1,9.58,0.08,9.19,0.06,-0.39,8.92,0.06,-0.66,9.17,0.06,-0.41
95,0.20,2,11.90,0.09,11.54,0.08,-0.36,10.73,0.07,-1.17,11.37,0.08,-0.52
95,0.40,1,17.01,0.14,16.90,0.12,-0.11,16.22,0.11,-0.79,16.80,0.12,-0.21
95,0.40,2,21.95,0.17,21.76,0.15,-0.20,20.50,0.13,-1.45,21.48,0.14,-0.47
100,0.20,1,7.13,0.07,6.95,0.06,-0.18,6.74,0.06,-0.39,6.90,0.06,-0.23
100,0.20,2,9.61,0.08,9.37,0.08,-0.24,8.86,0.07,-0.74,9.28,0.08,-0.33
100,0.40,1,14.83,0.13,14.54,0.12,-0.29,14.07,0.11,-0.76,14.36,0.12,-0.47
100,0.40,2,20.36,0.16,20.33,0.15,-0.03,19.12,0.13,-1.24,19.84,0.14,-0.53
105,0.20,1,5.01,0.06,5.12,0.06,0.12,4.92,0.05,-0.09,5.07,0.06,0.07
105,0.20,2,7.61,0.08,7.51,0.07,-0.10,7.09,0.06,-0.52,7.37,0.07,-0.24
105,0.40,1,12.88,0.12,12.75,0.11,-0.13,12.24,0.10,-0.63,12.61,0.11,-0.27
105,0.40,2,18.50,0.16,18.05,0.15,-0.46,17.18,0.13,-1.32,17.80,0.14,-0.70
110,0.20,1,3.69,0.05,3.66,0.05,-0.03,3.53,0.05,-0.16,3.61,0.05,-0.07
110,0.20,2,5.96,0.07,5.75,0.06,-0.21,5.55,0.06,-0.41,5.76,0.06,-0.20
110,0.40,1,10.97,0.12,11.04,0.11,0.07,10.61,0.10,-0.36,10.87,0.11,-0.10
110,0.40,2,16.80,0.15,16.36,0.14,-0.44,15.52,0.12,-1.28,16.20,0.13,-0.59
115,0.20,1,2.65,0.05,2.50,0.04,-0.14,2.39,0.04,-0.26,2.47,0.04,-0.18
115,0.20,2,4.77,0.06,4.81,0.06,0.04,4.54,0.05,-0.23,4.71,0.06,-0.06
115,0.40,1,9.81,0.11,9.72,0.10,-0.10,9.36,0.10,-0.46,9.65,0.10,-0.16
115,0.40,2,15.43,0.15,15.16,0.14,-0.27,14.21,0.12,-1.21,14.85,0.13,-0.58
120,0.20,1,1.81,0.04,1.73,0.03,-0.08,1.66,0.03,-0.16,1.72,0.03,-0.09
120,0.20,2,3.66,0.06,3.58,0.05,-0.08,3.39,0.05,-0.27,3.53,0.05,-0.13
120,0.40,1,8.49,0.11,8.32,0.10,-0.17,8.08,0.09,-0.41,8.28,0.10,-0.22
120,0.40,2,13.80,0.15,13.54,0.13,-0.26,12.85,0.12,-0.95,13.30,0.13,-0.49
