S0,sigma,T,Ref Price,Ref StdErr,LGBM Price,LGBM StdErr,LGBM Bias,XGB Price,XGB StdErr,XGB Bias
80,0.20,1,20.37,0.06,20.09,0.03,-0.28,20.04,0.03,-0.33
80,0.20,2,21.31,0.09,20.61,0.05,-0.70,20.64,0.05,-0.68
80,0.40,1,25.05,0.13,24.32,0.10,-0.73,24.24,0.10,-0.80
80,0.40,2,29.04,0.17,28.03,0.12,-1.01,28.28,0.13,-0.76
85,0.20,1,16.06,0.07,15.90,0.05,-0.16,15.93,0.05,-0.13
85,0.20,2,17.69,0.09,17.14,0.07,-0.55,17.13,0.07,-0.56
85,0.40,1,22.37,0.14,21.44,0.11,-0.93,21.37,0.11,-1.00
85,0.40,2,26.86,0.17,26.00,0.13,-0.86,26.05,0.13,-0.81
90,0.20,1,12.54,0.08,12.18,0.06,-0.35,12.23,0.06,-0.30
90,0.20,2,14.71,0.09,13.97,0.07,-0.74,13.99,0.07,-0.72
90,0.40,1,19.39,0.14,18.85,0.11,-0.54,18.83,0.11,-0.56
90,0.40,2,24.48,0.17,23.65,0.13,-0.83,23.69,0.13,-0.79
95,0.20,1,9.57,0.07,9.25,0.06,-0.31,9.23,0.06,-0.34
95,0.20,2,11.84,0.09,11.40,0.07,-0.44,11.40,0.07,-0.44
95,0.40,1,16.94,0.13,16.42,0.11,-0.53,16.43,0.11,-0.52
95,0.40,2,22.43,0.17,21.31,0.13,-1.12,21.42,0.13,-1.01
100,0.20,1,7.14,0.07,6.89,0.05,-0.25,6.92,0.05,-0.22
100,0.20,2,9.53,0.09,9.22,0.07,-0.31,9.25,0.07,-0.28
100,0.40,1,14.68,0.12,14.37,0.11,-0.31,14.34,0.10,-0.34
100,0.40,2,20.00,0.16,19.72,0.13,-0.28,19.71,0.13,-0.29
105,0.20,1,5.15,0.06,5.00,0.05,-0.15,4.95,0.05,-0.20
105,0.20,2,7.59,0.08,7.42,0.07,-0.17,7.42,0.07,-0.17
105,0.40,1,12.92,0.12,12.61,0.10,-0.31,12.61,0.10,-0.31
105,0.40,2,18.41,0.16,17.72,0.13,-0.69,17.80,0.13,-0.62
110,0.20,1,3.55,0.05,3.53,0.04,-0.02,3.49,0.04,-0.06
110,0.20,2,6.08,0.07,5.68,0.06,-0.40,5.72,0.06,-0.36
110,0.40,1,11.40,0.12,10.82,0.10,-0.58,10.83,0.10,-0.57
110,0.40,2,16.92,0.15,16.19,0.13,-0.74,16.15,0.12,-0.77
115,0.20,1,2.56,0.04,2.40,0.04,-0.16,2.38,0.04,-0.17
115,0.20,2,4.84,0.07,4.57,0.05,-0.27,4.57,0.05,-0.27
115,0.40,1,9.83,0.11,9.52,0.09,-0.31,9.53,0.09,-0.30
115,0.40,2,15.71,0.15,14.72,0.12,-0.99,14.67,0.12,-1.04
120,0.20,1,1.76,0.04,1.72,0.03,-0.04,1.71,0.03,-0.05
120,0.20,2,3.82,0.06,3.64,0.05,-0.18,3.66,0.05,-0.16
120,0.40,1,8.53,0.11,8.12,0.09,-0.41,8.11,0.09,-0.42
120,0.40,2,14.00,0.14,13.53,0.12,-0.47,13.50,0.12,-0.51
