S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,LGBM Price,LGBM StdErr,LGBM Bias,LR Price,LR StdErr,LR Bias
80,0.20,1,20.27,0.05,20.34,0.07,0.07,20.82,0.07,0.55,20.32,0.07,0.06
80,0.20,2,21.16,0.08,21.18,0.09,0.02,21.65,0.09,0.49,21.18,0.09,0.01
80,0.40,1,25.06,0.12,25.19,0.14,0.13,25.77,0.14,0.71,25.18,0.14,0.12
80,0.40,2,29.35,0.15,29.33,0.17,-0.02,29.98,0.17,0.64,29.31,0.17,-0.04
85,0.20,1,16.13,0.07,16.15,0.07,0.02,16.55,0.08,0.42,16.15,0.07,0.02
85,0.20,2,17.61,0.08,17.40,0.09,-0.21,17.94,0.10,0.33,17.43,0.09,-0.19
85,0.40,1,22.05,0.12,22.21,0.14,0.15,22.67,0.14,0.62,22.21,0.14,0.16
85,0.40,2,26.57,0.15,26.83,0.17,0.26,27.51,0.17,0.94,26.83,0.17,0.26
90,0.20,1,12.42,0.07,12.50,0.08,0.09,12.85,0.08,0.43,12.52,0.08,0.11
90,0.20,2,14.29,0.08,14.35,0.10,0.06,14.75,0.09,0.46,14.33,0.10,0.04
90,0.40,1,19.53,0.12,19.41,0.14,-0.12,19.84,0.14,0.31,19.39,0.14,-0.14
90,0.40,2,24.12,0.14,24.46,0.17,0.35,25.09,0.17,0.97,24.48,0.17,0.36
95,0.20,1,9.57,0.07,9.35,0.07,-0.22,9.71,0.08,0.14,9.33,0.07,-0.25
95,0.20,2,11.86,0.08,11.67,0.09,-0.19,12.13,0.09,0.27,11.66,0.09,-0.20
95,0.40,1,16.96,0.12,17.13,0.14,0.17,17.65,0.14,0.69,17.14,0.14,0.18
95,0.40,2,21.97,0.14,22.03,0.16,0.06,22.81,0.17,0.84,22.02,0.16,0.05
100,0.20,1,7.10,0.06,7.08,0.07,-0.02,7.38,0.07,0.28,7.06,0.07,-0.04
100,0.20,2,9.59,0.07,9.57,0.09,-0.02,9.97,0.09,0.38,9.55,0.09,-0.04
100,0.40,1,14.82,0.11,14.79,0.13,-0.03,15.31,0.13,0.49,14.79,0.13,-0.04
100,0.40,2,20.47,0.14,20.60,0.17,0.13,21.30,0.17,0.82,20.59,0.17,0.11
105,0.20,1,5.06,0.05,5.19,0.06,0.13,5.45,0.06,0.39,5.19,0.06,0.13
105,0.20,2,7.58,0.07,7.67,0.08,0.09,8.01,0.08,0.43,7.66,0.08,0.08
105,0.40,1,12.91,0.11,12.93,0.12,0.02,13.42,0.13,0.51,12.94,0.13,0.03
105,0.40,2,18.35,0.14,18.39,0.16,0.04,19.06,0.16,0.71,18.36,0.16,0.01
110,0.20,1,3.69,0.05,3.77,0.05,0.08,3.99,0.06,0.30,3.74,0.05,0.05
110,0.20,2,6.02,0.06,6.04,0.08,0.02,6.41,0.08,0.39,6.02,0.08,0.00
110,0.40,1,10.98,0.10,11.08,0.12,0.10,11.54,0.12,0.56,11.07,0.12,0.09
110,0.40,2,16.82,0.13,16.72,0.15,-0.10,17.41,0.16,0.59,16.72,0.15,-0.10
115,0.20,1,2.65,0.04,2.59,0.04,-0.06,2.77,0.05,0.13,2.57,0.04,-0.08
115,0.20,2,4.81,0.06,4.91,0.07,0.09,5.28,0.07,0.47,4.89,0.07,0.08
115,0.40,1,9.78,0.10,9.86,0.11,0.08,10.27,0.12,0.50,9.87,0.11,0.09
115,0.40,2,15.44,0.13,15.35,0.15,-0.09,16.02,0.15,0.57,15.37,0.15,-0.07
120,0.20,1,1.81,0.03,1.79,0.04,-0.02,1.95,0.04,0.14,1.79,0.04,-0.01
120,0.20,2,3.74,0.05,3.64,0.06,-0.10,4.00,0.06,0.27,3.62,0.06,-0.12
120,0.40,1,8.56,0.09,8.44,0.11,-0.12,8.86,0.11,0.30,8.45,0.11,-0.11
120,0.40,2,13.79,0.13,13.75,0.14,-0.05,14.39,0.15,0.60,13.75,0.14,-0.04
