S0,sigma,T,Ref Price,Ref StdErr,LGBM Price,LGBM StdErr,LGBM Bias,XGB Price,XGB StdErr,XGB Bias
80,0.20,1,20.15,0.06,20.17,0.06,0.02,20.25,0.06,0.10
80,0.20,2,21.27,0.10,21.18,0.08,-0.10,21.15,0.08,-0.12
80,0.40,1,25.08,0.15,24.91,0.13,-0.17,24.89,0.13,-0.19
80,0.40,2,29.41,0.17,28.65,0.16,-0.76,28.68,0.16,-0.73
85,0.20,1,16.02,0.08,16.09,0.07,0.07,16.10,0.08,0.08
85,0.20,2,17.42,0.10,17.53,0.09,0.11,17.49,0.09,0.07
85,0.40,1,22.31,0.15,21.85,0.13,-0.45,21.91,0.14,-0.40
85,0.40,2,26.77,0.17,26.55,0.16,-0.22,26.53,0.16,-0.24
90,0.20,1,12.48,0.08,12.44,0.07,-0.04,12.41,0.07,-0.07
90,0.20,2,14.41,0.10,14.31,0.09,-0.09,14.34,0.09,-0.07
90,0.40,1,19.28,0.14,19.19,0.13,-0.09,19.22,0.13,-0.06
90,0.40,2,24.13,0.17,24.11,0.16,-0.02,24.12,0.16,-0.01
95,0.20,1,9.43,0.07,9.33,0.07,-0.10,9.34,0.07,-0.09
95,0.20,2,11.85,0.09,11.53,0.09,-0.32,11.50,0.09,-0.35
95,0.40,1,16.99,0.14,17.17,0.13,0.18,17.15,0.13,0.16
95,0.40,2,22.32,0.18,21.66,0.16,-0.66,21.72,0.16,-0.60
100,0.20,1,7.01,0.07,7.00,0.07,-0.01,7.02,0.07,0.00
100,0.20,2,9.53,0.09,9.51,0.08,-0.02,9.48,0.08,-0.05
100,0.40,1,15.01,0.14,14.85,0.13,-0.16,14.82,0.13,-0.19
100,0.40,2,20.26,0.17,19.82,0.16,-0.44,19.81,0.16,-0.45
105,0.20,1,5.08,0.06,5.08,0.06,-0.00,5.09,0.06,0.01
105,0.20,2,7.62,0.08,7.50,0.08,-0.13,7.50,0.08,-0.12
105,0.40,1,12.92,0.13,12.90,0.12,-0.03,12.87,0.12,-0.05
105,0.40,2,18.41,0.16,18.27,0.15,-0.15,18.35,0.15,-0.06
110,0.20,1,3.72,0.05,3.65,0.05,-0.07,3.65,0.05,-0.07
110,0.20,2,6.05,0.08,5.99,0.07,-0.06,6.00,0.07,-0.05
110,0.40,1,11.10,0.12,11.07,0.12,-0.03,11.01,0.12,-0.09
110,0.40,2,16.81,0.16,16.95,0.15,0.14,16.99,0.15,0.17
115,0.20,1,2.61,0.05,2.55,0.04,-0.06,2.55,0.04,-0.06
115,0.20,2,4.74,0.07,4.65,0.06,-0.09,4.67,0.06,-0.08
115,0.40,1,9.82,0.12,9.72,0.11,-0.10,9.72,0.11,-0.10
115,0.40,2,15.21,0.16,15.18,0.15,-0.03,15.21,0.15,0.00
120,0.20,1,1.81,0.04,1.71,0.04,-0.10,1.70,0.04,-0.11
120,0.20,2,3.79,0.06,3.71,0.06,-0.07,3.72,0.06,-0.07
120,0.40,1,8.44,0.11,8.52,0.11,0.08,8.50,0.11,0.07
120,0.40,2,14.08,0.15,13.92,0.14,-0.16,13.95,0.14,-0.13
