S0,sigma,T,Ref Price,Ref StdErr,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.37,0.06,20.05,0.02,-0.32,20.00,0.02,-0.37,20.00,0.02,-0.37
80,0.20,2,21.31,0.09,20.47,0.04,-0.85,20.00,0.02,-1.31,20.00,0.02,-1.31
80,0.40,1,25.05,0.13,24.25,0.10,-0.80,22.24,0.06,-2.81,23.19,0.08,-1.86
80,0.40,2,29.04,0.17,28.38,0.13,-0.65,24.52,0.08,-4.51,26.35,0.10,-2.68
85,0.20,1,16.06,0.07,15.83,0.05,-0.24,15.00,0.02,-1.06,15.25,0.03,-0.82
85,0.20,2,17.69,0.09,17.11,0.07,-0.58,15.20,0.02,-2.49,15.87,0.04,-1.82
85,0.40,1,22.37,0.14,21.25,0.10,-1.12,19.42,0.07,-2.95,20.46,0.09,-1.91
85,0.40,2,26.86,0.17,26.21,0.14,-0.65,22.43,0.08,-4.43,23.98,0.10,-2.87
90,0.20,1,12.54,0.08,12.16,0.06,-0.38,11.04,0.03,-1.50,11.62,0.05,-0.92
90,0.20,2,14.71,0.09,14.10,0.07,-0.61,12.04,0.04,-2.67,12.89,0.05,-1.82
90,0.40,1,19.39,0.14,19.03,0.11,-0.36,17.05,0.08,-2.34,18.00,0.09,-1.39
90,0.40,2,24.48,0.17,23.84,0.14,-0.65,20.66,0.09,-3.82,22.00,0.11,-2.48
95,0.20,1,9.57,0.07,9.23,0.06,-0.34,8.27,0.04,-1.29,8.83,0.05,-0.74
95,0.20,2,11.84,0.09,11.45,0.07,-0.39,9.63,0.05,-2.21,10.41,0.06,-1.43
95,0.40,1,16.94,0.13,16.63,0.11,-0.31,14.84,0.08,-2.11,15.80,0.10,-1.15
95,0.40,2,22.43,0.17,21.45,0.13,-0.98,18.23,0.09,-4.20,19.90,0.11,-2.54
100,0.20,1,7.14,0.07,6.94,0.06,-0.20,6.22,0.04,-0.91,6.64,0.05,-0.49
100,0.20,2,9.53,0.09,9.26,0.07,-0.27,7.84,0.05,-1.69,8.50,0.06,-1.03
100,0.40,1,14.68,0.12,14.47,0.11,-0.22,13.12,0.08,-1.56,13.87,0.10,-0.82
100,0.40,2,20.00,0.16,19.84,0.13,-0.16,16.92,0.09,-3.08,18.12,0.11,-1.88
105,0.20,1,5.15,0.06,5.01,0.05,-0.14,4.43,0.04,-0.72,4.82,0.05,-0.33
105,0.20,2,7.59,0.08,7.43,0.07,-0.16,6.26,0.05,-1.33,6.94,0.06,-0.65
105,0.40,1,12.92,0.12,12.63,0.10,-0.29,11.36,0.08,-1.56,12.22,0.10,-0.70
105,0.40,2,18.41,0.16,17.76,0.13,-0.65,15.39,0.09,-3.03,16.65,0.11,-1.76
110,0.20,1,3.55,0.05,3.53,0.04,-0.02,3.13,0.04,-0.42,3.41,0.04,-0.14
110,0.20,2,6.08,0.07,5.75,0.06,-0.33,4.89,0.04,-1.19,5.40,0.05,-0.67
110,0.40,1,11.40,0.12,10.75,0.10,-0.65,9.84,0.08,-1.56,10.55,0.09,-0.84
110,0.40,2,16.92,0.15,16.36,0.13,-0.56,13.90,0.09,-3.03,15.28,0.11,-1.65
115,0.20,1,2.56,0.04,2.44,0.04,-0.12,2.21,0.03,-0.35,2.37,0.03,-0.19
115,0.20,2,4.84,0.07,4.56,0.05,-0.28,3.89,0.04,-0.95,4.35,0.05,-0.49
115,0.40,1,9.83,0.11,9.53,0.09,-0.30,8.67,0.08,-1.16,9.27,0.09,-0.56
115,0.40,2,15.71,0.15,14.93,0.13,-0.78,12.73,0.09,-2.98,14.06,0.11,-1.65
120,0.20,1,1.76,0.04,1.67,0.03,-0.10,1.58,0.03,-0.18,1.67,0.03,-0.09
120,0.20,2,3.82,0.06,3.64,0.05,-0.18,3.11,0.04,-0.70,3.51,0.05,-0.31
120,0.40,1,8.53,0.11,8.01,0.09,-0.52,7.45,0.07,-1.08,7.91,0.08,-0.62
120,0.40,2,14.00,0.14,13.71,0.12,-0.30,11.81,0.09,-2.19,12.70,0.11,-1.30
