S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.13,0.06,20.24,0.07,0.10,20.60,0.07,0.47,20.16,0.06,0.03,20.64,0.08,0.50,20.38,0.07,0.25
80,0.20,2,21.29,0.08,21.23,0.09,-0.06,21.47,0.08,0.18,20.96,0.07,-0.34,21.63,0.09,0.33,21.46,0.09,0.16
80,0.40,1,25.14,0.13,25.06,0.15,-0.09,25.24,0.14,0.10,24.85,0.13,-0.30,25.54,0.15,0.39,25.23,0.14,0.09
80,0.40,2,29.45,0.15,28.74,0.17,-0.71,29.16,0.17,-0.29,28.48,0.15,-0.97,29.53,0.17,0.08,29.18,0.17,-0.27
85,0.20,1,16.00,0.07,16.14,0.08,0.15,16.36,0.08,0.36,15.94,0.07,-0.06,16.52,0.08,0.52,16.26,0.08,0.27
85,0.20,2,17.46,0.09,17.65,0.10,0.18,17.90,0.10,0.44,17.36,0.08,-0.10,18.17,0.10,0.71,17.91,0.10,0.44
85,0.40,1,22.22,0.13,21.93,0.15,-0.29,22.29,0.14,0.07,21.93,0.13,-0.29,22.50,0.15,0.28,22.31,0.14,0.09
85,0.40,2,26.65,0.15,26.93,0.18,0.28,27.15,0.17,0.50,26.51,0.15,-0.14,27.44,0.18,0.80,27.20,0.17,0.56
90,0.20,1,12.42,0.07,12.53,0.08,0.11,12.68,0.08,0.27,12.44,0.07,0.02,12.82,0.08,0.40,12.71,0.08,0.29
90,0.20,2,14.37,0.09,14.43,0.10,0.05,14.62,0.09,0.25,14.27,0.08,-0.10,14.84,0.10,0.47,14.62,0.10,0.24
90,0.40,1,19.27,0.12,19.37,0.14,0.10,19.58,0.14,0.31,19.36,0.13,0.09,19.92,0.14,0.66,19.76,0.14,0.49
90,0.40,2,24.22,0.15,24.44,0.17,0.22,24.64,0.17,0.41,24.26,0.15,0.03,25.04,0.17,0.82,24.81,0.17,0.59
95,0.20,1,9.50,0.07,9.36,0.08,-0.14,9.47,0.07,-0.03,9.37,0.07,-0.13,9.68,0.08,0.18,9.56,0.08,0.06
95,0.20,2,11.74,0.08,11.67,0.10,-0.07,11.82,0.09,0.08,11.54,0.08,-0.20,12.09,0.10,0.35,11.95,0.10,0.21
95,0.40,1,17.13,0.12,17.29,0.14,0.16,17.38,0.14,0.25,17.12,0.13,-0.01,17.67,0.14,0.54,17.57,0.14,0.44
95,0.40,2,22.25,0.15,22.00,0.17,-0.25,22.14,0.17,-0.11,21.77,0.15,-0.48,22.53,0.17,0.28,22.35,0.17,0.10
100,0.20,1,7.03,0.06,7.07,0.07,0.04,7.18,0.07,0.15,7.14,0.07,0.11,7.35,0.07,0.32,7.29,0.07,0.26
100,0.20,2,9.61,0.08,9.63,0.09,0.02,9.71,0.09,0.10,9.55,0.08,-0.06,9.97,0.09,0.36,9.89,0.09,0.28
100,0.40,1,14.97,0.12,14.94,0.14,-0.03,15.04,0.13,0.07,14.94,0.13,-0.03,15.32,0.14,0.35,15.22,0.14,0.25
100,0.40,2,20.14,0.14,20.12,0.17,-0.02,20.25,0.17,0.11,19.88,0.15,-0.26,20.73,0.17,0.59,20.48,0.17,0.34
105,0.20,1,5.05,0.05,5.12,0.06,0.08,5.15,0.06,0.10,5.19,0.06,0.14,5.39,0.07,0.35,5.32,0.07,0.28
105,0.20,2,7.65,0.07,7.59,0.08,-0.05,7.65,0.08,0.01,7.53,0.08,-0.11,7.96,0.09,0.32,7.83,0.09,0.19
105,0.40,1,12.95,0.11,12.98,0.13,0.03,13.09,0.12,0.14,13.04,0.12,0.09,13.43,0.13,0.48,13.32,0.13,0.37
105,0.40,2,18.52,0.14,18.57,0.16,0.05,18.68,0.16,0.16,18.51,0.15,-0.01,19.18,0.16,0.66,18.89,0.16,0.37
110,0.20,1,3.68,0.05,3.69,0.05,0.01,3.70,0.05,0.01,3.75,0.05,0.06,3.93,0.06,0.24,3.85,0.06,0.17
110,0.20,2,6.07,0.07,6.11,0.08,0.05,6.13,0.07,0.06,6.14,0.07,0.07,6.45,0.08,0.38,6.36,0.08,0.30
110,0.40,1,11.22,0.11,11.23,0.13,0.01,11.27,0.12,0.06,11.24,0.12,0.02,11.63,0.13,0.42,11.54,0.13,0.32
110,0.40,2,16.88,0.14,17.08,0.16,0.20,17.18,0.15,0.30,16.98,0.15,0.11,17.73,0.16,0.85,17.52,0.16,0.64
115,0.20,1,2.60,0.04,2.63,0.05,0.02,2.60,0.04,-0.00,2.68,0.05,0.08,2.79,0.05,0.19,2.74,0.05,0.13
115,0.20,2,4.78,0.06,4.73,0.07,-0.05,4.72,0.06,-0.06,4.79,0.07,0.01,5.04,0.07,0.26,4.92,0.07,0.14
115,0.40,1,9.84,0.10,9.86,0.12,0.02,9.86,0.11,0.02,9.82,0.11,-0.02,10.21,0.12,0.37,10.15,0.12,0.31
115,0.40,2,15.30,0.14,15.39,0.16,0.08,15.56,0.15,0.26,15.36,0.14,0.06,16.01,0.16,0.71,15.80,0.16,0.50
120,0.20,1,1.79,0.03,1.75,0.04,-0.04,1.73,0.04,-0.06,1.80,0.04,0.01,1.89,0.04,0.10,1.83,0.04,0.04
120,0.20,2,3.80,0.05,3.77,0.06,-0.03,3.78,0.06,-0.02,3.89,0.06,0.09,4.08,0.07,0.28,4.03,0.07,0.23
120,0.40,1,8.50,0.09,8.62,0.11,0.13,8.64,0.11,0.15,8.59,0.10,0.09,8.92,0.11,0.42,8.80,0.11,0.30
120,0.40,2,13.94,0.13,14.01,0.15,0.07,14.11,0.14,0.17,14.08,0.14,0.15,14.57,0.15,0.63,14.50,0.15,0.56
