S0,sigma,T,Ref Price,Ref StdErr,LGBM Price,LGBM StdErr,LGBM Bias,XGB Price,XGB StdErr,XGB Bias
80,0.20,1,20.27,0.06,20.19,0.04,-0.09,20.05,0.03,-0.22
80,0.20,2,21.14,0.08,20.57,0.05,-0.57,20.79,0.05,-0.35
80,0.40,1,25.24,0.14,24.69,0.11,-0.56,24.64,0.11,-0.60
80,0.40,2,29.22,0.17,28.54,0.13,-0.67,28.55,0.13,-0.67
85,0.20,1,16.25,0.08,15.83,0.05,-0.42,15.68,0.05,-0.56
85,0.20,2,17.66,0.09,17.23,0.06,-0.43,17.06,0.06,-0.59
85,0.40,1,22.22,0.14,21.62,0.11,-0.60,21.78,0.11,-0.44
85,0.40,2,26.65,0.16,25.81,0.13,-0.84,25.67,0.13,-0.98
90,0.20,1,12.53,0.07,12.21,0.06,-0.31,12.28,0.05,-0.25
90,0.20,2,14.51,0.09,13.98,0.07,-0.53,14.00,0.07,-0.51
90,0.40,1,19.31,0.13,18.96,0.11,-0.35,19.00,0.11,-0.31
90,0.40,2,24.55,0.17,23.24,0.13,-1.32,23.45,0.13,-1.10
95,0.20,1,9.73,0.07,9.19,0.06,-0.54,9.26,0.06,-0.47
95,0.20,2,11.88,0.09,11.25,0.07,-0.63,11.38,0.07,-0.50
95,0.40,1,17.11,0.13,16.34,0.11,-0.77,16.60,0.11,-0.50
95,0.40,2,22.05,0.16,21.42,0.13,-0.63,21.15,0.13,-0.90
100,0.20,1,7.14,0.07,6.79,0.05,-0.36,6.85,0.06,-0.29
100,0.20,2,9.69,0.09,9.00,0.07,-0.70,9.05,0.07,-0.64
100,0.40,1,14.98,0.13,14.48,0.11,-0.50,14.38,0.10,-0.59
100,0.40,2,20.13,0.16,19.40,0.13,-0.73,19.41,0.13,-0.73
105,0.20,1,5.13,0.06,4.89,0.05,-0.25,5.00,0.05,-0.13
105,0.20,2,7.59,0.08,7.38,0.07,-0.20,7.12,0.06,-0.46
105,0.40,1,12.75,0.12,12.53,0.10,-0.22,12.57,0.10,-0.18
105,0.40,2,18.55,0.16,17.33,0.13,-1.22,17.70,0.13,-0.86
110,0.20,1,3.72,0.05,3.43,0.04,-0.30,3.55,0.04,-0.17
110,0.20,2,6.14,0.07,5.81,0.06,-0.33,5.80,0.06,-0.34
110,0.40,1,10.86,0.11,10.91,0.10,0.05,10.88,0.10,0.02
110,0.40,2,16.67,0.15,16.26,0.13,-0.41,15.99,0.13,-0.68
115,0.20,1,2.60,0.04,2.53,0.04,-0.07,2.38,0.03,-0.22
115,0.20,2,4.93,0.07,4.60,0.05,-0.33,4.57,0.05,-0.36
115,0.40,1,9.70,0.11,9.40,0.09,-0.30,9.08,0.09,-0.62
115,0.40,2,15.30,0.14,14.82,0.12,-0.48,14.60,0.12,-0.69
120,0.20,1,1.76,0.03,1.70,0.03,-0.06,1.65,0.03,-0.12
120,0.20,2,3.77,0.06,3.56,0.05,-0.21,3.59,0.05,-0.18
120,0.40,1,8.37,0.10,8.13,0.09,-0.24,8.19,0.09,-0.18
120,0.40,2,14.05,0.14,13.58,0.12,-0.47,13.26,0.12,-0.80
