S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.30,0.05,20.26,0.06,-0.04,20.75,0.05,0.46,20.02,0.02,-0.28,20.81,0.06,0.51,20.08,0.02,-0.22
80,0.20,2,21.25,0.07,21.07,0.08,-0.18,21.25,0.06,-0.01,20.05,0.02,-1.21,21.85,0.08,0.59,20.18,0.02,-1.07
80,0.40,1,25.21,0.12,25.19,0.14,-0.02,25.41,0.12,0.19,22.88,0.07,-2.33,25.64,0.13,0.42,23.95,0.09,-1.26
80,0.40,2,29.21,0.15,29.08,0.16,-0.13,29.75,0.15,0.54,25.18,0.08,-4.03,29.93,0.15,0.72,27.15,0.11,-2.05
85,0.20,1,16.14,0.06,16.15,0.07,0.01,16.49,0.06,0.35,15.16,0.02,-0.98,16.61,0.07,0.47,15.54,0.04,-0.60
85,0.20,2,17.56,0.08,17.51,0.09,-0.05,17.78,0.08,0.22,15.56,0.03,-2.00,18.07,0.09,0.51,16.44,0.05,-1.12
85,0.40,1,21.96,0.12,22.41,0.14,0.45,22.26,0.12,0.29,20.13,0.08,-1.83,22.61,0.13,0.64,21.26,0.10,-0.70
85,0.40,2,27.06,0.15,26.80,0.17,-0.26,26.94,0.15,-0.12,22.92,0.09,-4.13,27.20,0.16,0.14,24.61,0.12,-2.44
90,0.20,1,12.57,0.07,12.55,0.08,-0.02,12.71,0.06,0.14,11.37,0.04,-1.20,12.96,0.07,0.40,12.03,0.05,-0.53
90,0.20,2,14.52,0.09,14.55,0.09,0.02,14.59,0.08,0.07,12.33,0.04,-2.19,15.01,0.09,0.49,13.24,0.06,-1.28
90,0.40,1,19.50,0.12,19.59,0.13,0.09,20.00,0.13,0.50,17.68,0.09,-1.82,19.92,0.13,0.42,18.76,0.10,-0.73
90,0.40,2,24.35,0.14,24.53,0.17,0.18,24.46,0.15,0.11,20.85,0.09,-3.50,24.82,0.16,0.47,22.62,0.12,-1.73
95,0.20,1,9.66,0.06,9.52,0.07,-0.14,9.59,0.07,-0.07,8.68,0.05,-0.98,9.80,0.07,0.15,9.27,0.06,-0.39
95,0.20,2,11.73,0.08,11.83,0.09,0.10,11.87,0.08,0.14,10.06,0.05,-1.67,12.13,0.09,0.40,10.96,0.06,-0.77
95,0.40,1,16.91,0.11,17.02,0.13,0.11,17.06,0.12,0.15,15.42,0.09,-1.50,17.41,0.13,0.50,16.55,0.11,-0.36
95,0.40,2,22.22,0.14,22.56,0.16,0.34,22.38,0.15,0.16,19.40,0.10,-2.82,22.96,0.16,0.74,20.70,0.12,-1.52
100,0.20,1,7.07,0.06,7.15,0.07,0.08,7.22,0.06,0.15,6.50,0.05,-0.57,7.36,0.07,0.29,6.92,0.06,-0.15
100,0.20,2,9.65,0.07,9.63,0.09,-0.02,9.51,0.08,-0.14,8.12,0.05,-1.52,9.88,0.09,0.23,8.92,0.07,-0.73
100,0.40,1,14.77,0.11,14.92,0.13,0.15,15.14,0.12,0.37,13.60,0.09,-1.17,15.18,0.12,0.42,14.62,0.11,-0.14
100,0.40,2,20.39,0.14,20.47,0.16,0.09,20.23,0.15,-0.16,17.73,0.10,-2.66,20.89,0.16,0.51,19.15,0.13,-1.24
105,0.20,1,5.13,0.05,5.15,0.06,0.02,5.18,0.05,0.05,4.86,0.05,-0.27,5.38,0.06,0.25,5.17,0.05,0.04
105,0.20,2,7.66,0.07,7.46,0.08,-0.20,7.68,0.07,0.02,6.53,0.05,-1.13,7.98,0.08,0.32,7.47,0.07,-0.19
105,0.40,1,12.84,0.11,12.98,0.12,0.14,12.95,0.11,0.11,11.81,0.09,-1.03,13.67,0.12,0.83,12.77,0.11,-0.07
105,0.40,2,18.39,0.14,18.70,0.16,0.30,18.61,0.14,0.22,16.34,0.10,-2.05,18.86,0.15,0.47,17.62,0.12,-0.77
110,0.20,1,3.59,0.04,3.70,0.05,0.11,3.67,0.05,0.07,3.58,0.04,-0.01,3.95,0.05,0.36,3.93,0.05,0.34
110,0.20,2,6.07,0.06,6.21,0.07,0.15,6.10,0.07,0.03,5.50,0.05,-0.57,6.63,0.08,0.57,6.00,0.07,-0.07
110,0.40,1,11.24,0.10,11.25,0.11,0.02,11.33,0.11,0.10,10.54,0.09,-0.69,11.96,0.12,0.72,11.30,0.11,0.06
110,0.40,2,16.74,0.13,17.00,0.15,0.26,16.71,0.14,-0.03,14.77,0.10,-1.97,17.48,0.15,0.74,16.54,0.13,-0.20
115,0.20,1,2.60,0.04,2.61,0.04,0.01,2.50,0.04,-0.10,2.52,0.04,-0.08,2.85,0.05,0.25,2.84,0.05,0.24
115,0.20,2,4.79,0.06,4.88,0.07,0.09,4.72,0.06,-0.07,4.32,0.05,-0.47,5.26,0.07,0.47,4.94,0.06,0.15
115,0.40,1,9.74,0.10,9.73,0.11,-0.01,9.68,0.10,-0.06,9.30,0.09,-0.45,10.25,0.11,0.51,10.21,0.11,0.47
115,0.40,2,15.23,0.13,15.34,0.15,0.11,15.37,0.14,0.14,13.43,0.10,-1.79,16.07,0.15,0.84,15.01,0.12,-0.22
120,0.20,1,1.74,0.03,1.83,0.04,0.09,1.77,0.03,0.03,1.76,0.03,0.02,2.00,0.04,0.26,1.89,0.04,0.15
120,0.20,2,3.76,0.05,3.90,0.06,0.14,3.73,0.05,-0.03,3.49,0.04,-0.28,4.24,0.06,0.47,4.13,0.06,0.37
120,0.40,1,8.43,0.09,8.45,0.11,0.02,8.57,0.10,0.14,8.04,0.08,-0.39,9.01,0.11,0.59,8.68,0.10,0.26
120,0.40,2,14.01,0.12,14.20,0.14,0.19,13.93,0.13,-0.08,12.55,0.10,-1.46,14.47,0.14,0.47,13.66,0.13,-0.34
