method,value,diff vs poly,time s
LSMC Poly (1+S+S²),14.71,+0.00,0.63
KNN,15.04,+0.33,3.22
Decision Tree,14.89,+0.18,1.15
XGBoost,15.42,+0.70,1.99
LightGBM,15.34,+0.63,1.71
Ridge (Linear),14.69,-0.02,0.75
Random Forest,15.16,+0.45,2.65
