S0,sigma,T,Ref Price,Ref StdErr,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.27,0.06,20.05,0.02,-0.22,20.00,0.02,-0.27,20.00,0.02,-0.27
80,0.20,2,21.14,0.08,20.55,0.04,-0.59,20.00,0.02,-1.14,20.00,0.02,-1.14
80,0.40,1,25.24,0.14,24.21,0.10,-1.04,22.13,0.06,-3.11,23.28,0.08,-1.97
80,0.40,2,29.22,0.17,28.16,0.13,-1.06,24.45,0.07,-4.76,26.44,0.10,-2.78
85,0.20,1,16.25,0.08,15.68,0.04,-0.57,15.00,0.02,-1.25,15.21,0.03,-1.03
85,0.20,2,17.66,0.09,16.88,0.06,-0.78,15.23,0.02,-2.43,15.70,0.04,-1.95
85,0.40,1,22.22,0.14,21.58,0.11,-0.64,19.30,0.07,-2.92,20.55,0.09,-1.67
85,0.40,2,26.65,0.16,25.63,0.13,-1.02,22.27,0.08,-4.38,23.83,0.10,-2.82
90,0.20,1,12.53,0.07,12.06,0.05,-0.47,11.09,0.03,-1.44,11.60,0.04,-0.92
90,0.20,2,14.51,0.09,14.04,0.07,-0.47,12.15,0.04,-2.36,12.91,0.05,-1.60
90,0.40,1,19.31,0.13,18.83,0.11,-0.48,17.02,0.08,-2.29,17.75,0.09,-1.55
90,0.40,2,24.55,0.17,23.60,0.13,-0.96,20.10,0.09,-4.46,21.70,0.11,-2.85
95,0.20,1,9.73,0.07,9.34,0.06,-0.38,8.32,0.04,-1.41,8.76,0.05,-0.97
95,0.20,2,11.88,0.09,11.25,0.07,-0.63,9.71,0.05,-2.17,10.56,0.06,-1.32
95,0.40,1,17.11,0.13,16.44,0.11,-0.67,14.74,0.08,-2.36,15.69,0.10,-1.42
95,0.40,2,22.05,0.16,21.60,0.14,-0.45,18.51,0.09,-3.54,20.08,0.11,-1.97
100,0.20,1,7.14,0.07,6.73,0.05,-0.41,6.07,0.04,-1.07,6.47,0.05,-0.67
100,0.20,2,9.69,0.09,9.23,0.07,-0.47,7.74,0.05,-1.95,8.20,0.05,-1.50
100,0.40,1,14.98,0.13,14.40,0.11,-0.58,12.86,0.08,-2.11,13.91,0.10,-1.07
100,0.40,2,20.13,0.16,19.91,0.14,-0.23,16.87,0.09,-3.26,18.14,0.11,-1.99
105,0.20,1,5.13,0.06,4.90,0.05,-0.23,4.56,0.04,-0.57,4.78,0.05,-0.36
105,0.20,2,7.59,0.08,7.32,0.07,-0.27,6.31,0.05,-1.27,6.87,0.06,-0.72
105,0.40,1,12.75,0.12,12.39,0.10,-0.36,11.50,0.08,-1.25,12.18,0.10,-0.57
105,0.40,2,18.55,0.16,18.11,0.13,-0.44,15.21,0.09,-3.34,16.49,0.11,-2.06
110,0.20,1,3.72,0.05,3.57,0.04,-0.15,3.16,0.04,-0.56,3.47,0.04,-0.25
110,0.20,2,6.14,0.07,5.89,0.06,-0.25,5.01,0.05,-1.13,5.59,0.05,-0.55
110,0.40,1,10.86,0.11,11.16,0.10,0.29,9.82,0.08,-1.04,10.51,0.09,-0.35
110,0.40,2,16.67,0.15,16.41,0.13,-0.26,13.79,0.09,-2.88,15.11,0.11,-1.56
115,0.20,1,2.60,0.04,2.51,0.04,-0.09,2.20,0.03,-0.40,2.31,0.03,-0.29
115,0.20,2,4.93,0.07,4.67,0.06,-0.27,3.85,0.04,-1.08,4.42,0.05,-0.51
115,0.40,1,9.70,0.11,9.51,0.10,-0.20,8.40,0.08,-1.30,9.26,0.09,-0.44
115,0.40,2,15.30,0.14,14.95,0.13,-0.35,12.52,0.09,-2.78,13.78,0.11,-1.52
120,0.20,1,1.76,0.03,1.61,0.03,-0.15,1.50,0.03,-0.26,1.71,0.03,-0.05
120,0.20,2,3.77,0.06,3.51,0.05,-0.26,3.13,0.04,-0.63,3.39,0.04,-0.38
120,0.40,1,8.37,0.10,7.99,0.09,-0.38,7.53,0.08,-0.84,7.88,0.08,-0.49
120,0.40,2,14.05,0.14,13.47,0.12,-0.58,11.60,0.09,-2.46,12.97,0.11,-1.09
