S0,sigma,T,Ref Price,Ref StdErr,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.24,0.07,20.14,0.06,-0.11,20.00,0.05,-0.24,20.16,0.06,-0.09
80,0.20,2,21.21,0.09,20.87,0.07,-0.34,20.42,0.06,-0.80,20.99,0.07,-0.22
80,0.40,1,24.91,0.15,25.05,0.13,0.14,24.63,0.13,-0.28,24.91,0.13,0.00
80,0.40,2,28.85,0.17,28.95,0.16,0.11,28.36,0.14,-0.49,29.00,0.16,0.15
85,0.20,1,15.98,0.08,15.75,0.07,-0.23,15.56,0.06,-0.41,15.81,0.07,-0.17
85,0.20,2,17.50,0.10,17.34,0.08,-0.16,16.97,0.07,-0.53,17.22,0.08,-0.28
85,0.40,1,22.16,0.14,22.25,0.13,0.09,21.58,0.13,-0.58,21.70,0.13,-0.46
85,0.40,2,26.78,0.18,26.29,0.16,-0.49,25.77,0.15,-1.01,26.30,0.16,-0.48
90,0.20,1,12.41,0.08,12.29,0.07,-0.12,12.08,0.07,-0.32,12.44,0.08,0.04
90,0.20,2,14.49,0.10,14.22,0.09,-0.27,13.90,0.08,-0.59,14.21,0.09,-0.28
90,0.40,1,19.23,0.14,19.55,0.13,0.32,18.78,0.13,-0.45,19.44,0.14,0.20
90,0.40,2,24.73,0.17,23.87,0.16,-0.86,23.37,0.14,-1.35,23.81,0.15,-0.92
95,0.20,1,9.48,0.08,9.47,0.07,-0.01,9.16,0.07,-0.31,9.40,0.07,-0.08
95,0.20,2,11.75,0.09,11.59,0.09,-0.16,11.44,0.08,-0.31,11.50,0.09,-0.25
95,0.40,1,16.98,0.14,17.26,0.13,0.28,16.48,0.12,-0.49,16.93,0.13,-0.04
95,0.40,2,22.16,0.17,21.75,0.16,-0.41,21.38,0.14,-0.78,22.12,0.16,-0.04
100,0.20,1,7.19,0.07,7.09,0.07,-0.10,6.76,0.06,-0.43,6.96,0.07,-0.23
100,0.20,2,9.54,0.09,9.55,0.08,0.01,9.17,0.08,-0.37,9.45,0.08,-0.09
100,0.40,1,14.64,0.14,14.98,0.13,0.33,14.45,0.12,-0.20,14.61,0.13,-0.03
100,0.40,2,20.17,0.17,19.90,0.15,-0.27,19.29,0.14,-0.88,19.55,0.15,-0.62
105,0.20,1,5.07,0.06,5.07,0.06,0.00,5.16,0.06,0.09,5.05,0.06,-0.02
105,0.20,2,7.68,0.08,7.51,0.08,-0.18,7.23,0.07,-0.45,7.50,0.08,-0.19
105,0.40,1,12.74,0.13,12.52,0.12,-0.21,12.55,0.12,-0.18,12.49,0.12,-0.24
105,0.40,2,18.50,0.16,18.24,0.15,-0.25,17.75,0.14,-0.75,18.25,0.15,-0.24
110,0.20,1,3.62,0.05,3.71,0.05,0.09,3.55,0.05,-0.07,3.74,0.05,0.13
110,0.20,2,6.12,0.08,5.96,0.07,-0.16,5.89,0.07,-0.23,5.99,0.07,-0.12
110,0.40,1,11.18,0.13,11.04,0.11,-0.14,10.99,0.11,-0.19,10.97,0.12,-0.21
110,0.40,2,16.86,0.16,16.85,0.15,-0.00,16.05,0.14,-0.81,16.69,0.15,-0.16
115,0.20,1,2.61,0.05,2.53,0.04,-0.08,2.56,0.04,-0.05,2.52,0.04,-0.09
115,0.20,2,4.83,0.07,4.79,0.06,-0.04,4.71,0.06,-0.12,4.87,0.06,0.04
115,0.40,1,9.57,0.11,9.76,0.11,0.18,9.39,0.10,-0.19,9.47,0.11,-0.10
115,0.40,2,15.58,0.16,15.29,0.14,-0.30,15.02,0.13,-0.56,15.00,0.14,-0.58
120,0.20,1,1.76,0.04,1.76,0.04,-0.01,1.70,0.03,-0.07,1.82,0.04,0.06
120,0.20,2,3.75,0.06,3.79,0.06,0.03,3.66,0.05,-0.09,3.61,0.06,-0.15
120,0.40,1,8.46,0.11,8.23,0.10,-0.23,8.23,0.10,-0.23,8.45,0.10,-0.01
120,0.40,2,14.11,0.15,13.91,0.14,-0.21,13.54,0.13,-0.58,13.57,0.14,-0.54
