S0,sigma,T,Ref Price,Ref StdErr,LGBM Price,LGBM StdErr,LGBM Bias,XGB Price,XGB StdErr,XGB Bias
80,0.20,1,20.20,0.06,20.08,0.04,-0.12,20.21,0.04,0.01
80,0.20,2,21.21,0.09,20.84,0.06,-0.36,20.77,0.06,-0.43
80,0.40,1,25.35,0.14,24.71,0.11,-0.64,24.74,0.12,-0.61
80,0.40,2,29.41,0.17,28.85,0.14,-0.56,28.34,0.14,-1.07
85,0.20,1,16.16,0.08,15.85,0.06,-0.31,16.05,0.06,-0.11
85,0.20,2,17.48,0.09,17.20,0.07,-0.28,17.21,0.07,-0.27
85,0.40,1,22.17,0.14,22.07,0.12,-0.10,21.63,0.12,-0.54
85,0.40,2,26.64,0.17,26.01,0.14,-0.62,25.75,0.14,-0.88
90,0.20,1,12.49,0.08,12.20,0.06,-0.29,12.31,0.06,-0.17
90,0.20,2,14.43,0.09,14.28,0.08,-0.16,14.04,0.08,-0.39
90,0.40,1,19.64,0.14,19.24,0.12,-0.40,19.03,0.12,-0.61
90,0.40,2,24.20,0.17,23.83,0.14,-0.37,23.55,0.14,-0.65
95,0.20,1,9.63,0.07,9.38,0.06,-0.26,9.33,0.06,-0.31
95,0.20,2,11.81,0.09,11.40,0.07,-0.42,11.42,0.07,-0.40
95,0.40,1,16.83,0.13,16.45,0.11,-0.38,16.68,0.12,-0.15
95,0.40,2,22.08,0.16,21.74,0.14,-0.34,21.77,0.14,-0.31
100,0.20,1,7.01,0.07,6.83,0.06,-0.18,6.88,0.06,-0.13
100,0.20,2,9.63,0.08,9.18,0.07,-0.45,9.21,0.07,-0.41
100,0.40,1,14.81,0.12,14.53,0.11,-0.27,14.53,0.11,-0.28
100,0.40,2,20.16,0.16,19.51,0.14,-0.65,19.71,0.14,-0.44
105,0.20,1,5.23,0.06,4.97,0.05,-0.26,5.10,0.05,-0.13
105,0.20,2,7.79,0.08,7.50,0.07,-0.29,7.27,0.07,-0.52
105,0.40,1,12.79,0.12,12.46,0.11,-0.33,13.06,0.11,0.27
105,0.40,2,18.51,0.16,18.11,0.14,-0.40,17.77,0.13,-0.74
110,0.20,1,3.69,0.05,3.55,0.04,-0.14,3.60,0.05,-0.09
110,0.20,2,5.93,0.07,5.88,0.06,-0.04,5.80,0.06,-0.13
110,0.40,1,11.45,0.12,11.13,0.10,-0.32,11.14,0.10,-0.31
110,0.40,2,16.87,0.15,16.54,0.13,-0.33,16.22,0.13,-0.64
115,0.20,1,2.66,0.05,2.54,0.04,-0.12,2.50,0.04,-0.15
115,0.20,2,4.70,0.07,4.74,0.06,0.04,4.58,0.06,-0.12
115,0.40,1,9.87,0.11,9.40,0.10,-0.47,9.59,0.10,-0.28
115,0.40,2,15.55,0.15,14.78,0.13,-0.77,14.99,0.13,-0.56
120,0.20,1,1.73,0.04,1.72,0.03,-0.01,1.71,0.03,-0.02
120,0.20,2,3.94,0.06,3.79,0.05,-0.15,3.67,0.05,-0.27
120,0.40,1,8.33,0.10,8.31,0.09,-0.02,8.29,0.09,-0.04
120,0.40,2,14.24,0.15,13.65,0.12,-0.59,13.66,0.13,-0.58
