S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,LGBM Price,LGBM StdErr,LGBM Bias,LR Price,LR StdErr,LR Bias
80,0.20,1,20.23,0.06,20.19,0.07,-0.04,20.69,0.08,0.46,20.06,0.07,-0.17
80,0.20,2,21.20,0.08,21.03,0.09,-0.17,21.52,0.09,0.32,21.13,0.09,-0.07
80,0.40,1,25.24,0.13,25.29,0.15,0.05,25.65,0.15,0.41,25.01,0.15,-0.23
80,0.40,2,28.93,0.15,29.25,0.17,0.32,29.74,0.17,0.81,29.29,0.17,0.36
85,0.20,1,16.01,0.07,16.24,0.08,0.23,16.43,0.08,0.43,16.02,0.08,0.01
85,0.20,2,17.52,0.09,17.54,0.10,0.03,18.05,0.10,0.53,17.51,0.10,-0.00
85,0.40,1,21.84,0.13,22.06,0.15,0.22,22.78,0.15,0.94,21.98,0.15,0.14
85,0.40,2,26.89,0.15,26.59,0.18,-0.30,27.32,0.17,0.43,26.50,0.17,-0.38
90,0.20,1,12.55,0.07,12.50,0.08,-0.05,12.82,0.08,0.27,12.29,0.08,-0.26
90,0.20,2,14.41,0.08,14.38,0.10,-0.02,14.82,0.10,0.41,14.61,0.10,0.20
90,0.40,1,19.47,0.12,19.59,0.15,0.12,19.91,0.15,0.44,19.25,0.14,-0.22
90,0.40,2,24.23,0.15,24.54,0.17,0.30,25.03,0.17,0.80,24.52,0.17,0.28
95,0.20,1,9.47,0.07,9.42,0.08,-0.05,9.72,0.08,0.25,9.58,0.08,0.10
95,0.20,2,11.87,0.08,11.82,0.09,-0.05,12.20,0.10,0.33,11.79,0.10,-0.08
95,0.40,1,17.19,0.12,17.05,0.14,-0.14,17.44,0.14,0.25,17.13,0.14,-0.06
95,0.40,2,22.00,0.15,22.28,0.17,0.28,22.54,0.17,0.54,22.20,0.17,0.20
100,0.20,1,6.97,0.06,6.97,0.07,0.00,7.36,0.07,0.39,7.11,0.07,0.14
100,0.20,2,9.33,0.08,9.46,0.09,0.13,9.97,0.09,0.63,9.40,0.09,0.06
100,0.40,1,15.03,0.12,14.91,0.13,-0.12,15.04,0.13,0.01,14.88,0.13,-0.15
100,0.40,2,20.40,0.15,20.17,0.17,-0.23,21.18,0.17,0.79,20.11,0.17,-0.28
105,0.20,1,5.19,0.06,5.14,0.06,-0.05,5.38,0.07,0.19,5.14,0.06,-0.05
105,0.20,2,7.60,0.07,7.52,0.08,-0.08,8.07,0.09,0.47,7.71,0.09,0.12
105,0.40,1,13.27,0.11,12.95,0.13,-0.32,13.23,0.13,-0.04,13.08,0.13,-0.19
105,0.40,2,18.47,0.14,18.41,0.16,-0.06,19.06,0.17,0.59,18.47,0.16,-0.00
110,0.20,1,3.64,0.05,3.68,0.05,0.04,3.91,0.06,0.27,3.64,0.05,0.00
110,0.20,2,6.07,0.07,6.10,0.08,0.03,6.50,0.08,0.43,6.21,0.08,0.14
110,0.40,1,11.09,0.10,11.23,0.12,0.14,11.64,0.12,0.54,11.31,0.12,0.21
110,0.40,2,16.70,0.14,16.98,0.16,0.27,17.05,0.16,0.34,16.67,0.15,-0.04
115,0.20,1,2.59,0.04,2.60,0.05,0.00,2.84,0.05,0.25,2.62,0.05,0.03
115,0.20,2,4.87,0.06,4.76,0.07,-0.11,5.22,0.07,0.36,4.85,0.07,-0.02
115,0.40,1,9.75,0.10,9.85,0.11,0.10,10.09,0.12,0.34,9.56,0.11,-0.19
115,0.40,2,15.48,0.13,15.44,0.16,-0.04,15.81,0.16,0.32,15.39,0.15,-0.09
120,0.20,1,1.77,0.03,1.81,0.04,0.04,1.96,0.04,0.19,1.72,0.04,-0.05
120,0.20,2,3.79,0.05,3.85,0.06,0.06,4.19,0.07,0.40,3.91,0.06,0.12
120,0.40,1,8.29,0.10,8.47,0.11,0.18,8.73,0.11,0.44,8.32,0.11,0.03
120,0.40,2,13.97,0.13,13.95,0.15,-0.02,14.35,0.15,0.38,13.99,0.15,0.02
