S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.23,0.06,20.14,0.07,-0.09,20.55,0.07,0.32,20.14,0.06,-0.09,20.60,0.08,0.37,20.37,0.06,0.14
80,0.20,2,21.20,0.08,21.30,0.10,0.10,21.50,0.09,0.30,20.88,0.07,-0.32,21.66,0.10,0.46,21.29,0.08,0.09
80,0.40,1,25.24,0.13,25.20,0.14,-0.03,25.51,0.14,0.27,24.86,0.13,-0.38,25.52,0.15,0.28,25.41,0.14,0.17
80,0.40,2,28.93,0.15,29.03,0.17,0.10,29.71,0.17,0.78,28.97,0.15,0.04,29.81,0.18,0.88,29.65,0.17,0.72
85,0.20,1,16.01,0.07,16.04,0.08,0.04,16.35,0.08,0.34,15.91,0.07,-0.10,16.47,0.08,0.46,16.12,0.08,0.11
85,0.20,2,17.52,0.09,17.50,0.10,-0.01,17.87,0.09,0.35,17.27,0.08,-0.25,17.97,0.10,0.45,17.70,0.09,0.19
85,0.40,1,21.84,0.13,22.11,0.15,0.27,22.48,0.14,0.64,21.87,0.13,0.02,22.57,0.15,0.73,22.34,0.15,0.50
85,0.40,2,26.89,0.15,26.49,0.17,-0.40,27.08,0.17,0.19,26.62,0.15,-0.27,27.24,0.17,0.36,26.88,0.17,-0.01
90,0.20,1,12.55,0.07,12.40,0.08,-0.15,12.44,0.08,-0.11,12.34,0.07,-0.21,12.80,0.08,0.25,12.74,0.08,0.19
90,0.20,2,14.41,0.08,14.48,0.10,0.07,14.46,0.09,0.05,14.05,0.08,-0.36,14.74,0.10,0.33,14.56,0.10,0.16
90,0.40,1,19.47,0.12,19.82,0.15,0.34,19.71,0.14,0.24,19.23,0.13,-0.25,19.86,0.15,0.39,19.54,0.14,0.07
90,0.40,2,24.23,0.15,24.41,0.17,0.18,24.86,0.17,0.63,23.92,0.15,-0.31,24.83,0.18,0.60,24.71,0.17,0.48
95,0.20,1,9.47,0.07,9.34,0.08,-0.14,9.70,0.08,0.23,9.40,0.07,-0.07,9.84,0.08,0.37,9.78,0.08,0.31
95,0.20,2,11.87,0.08,11.87,0.10,0.00,11.94,0.09,0.07,11.70,0.08,-0.17,12.14,0.10,0.27,11.91,0.10,0.04
95,0.40,1,17.19,0.12,16.97,0.14,-0.22,17.16,0.14,-0.03,16.88,0.13,-0.31,17.56,0.14,0.37,17.29,0.14,0.10
95,0.40,2,22.00,0.15,22.37,0.17,0.37,22.48,0.17,0.48,21.83,0.15,-0.17,22.70,0.17,0.70,22.57,0.17,0.57
100,0.20,1,6.97,0.06,7.11,0.07,0.15,7.10,0.07,0.13,7.06,0.07,0.10,7.34,0.07,0.38,7.29,0.07,0.32
100,0.20,2,9.33,0.08,9.58,0.09,0.25,9.71,0.09,0.38,9.60,0.08,0.27,9.81,0.09,0.48,9.72,0.09,0.38
100,0.40,1,15.03,0.12,14.95,0.14,-0.07,14.96,0.13,-0.06,14.75,0.13,-0.27,15.17,0.14,0.15,15.51,0.14,0.48
100,0.40,2,20.40,0.15,20.59,0.17,0.20,20.43,0.16,0.03,20.32,0.15,-0.08,21.06,0.17,0.66,20.61,0.17,0.21
105,0.20,1,5.19,0.06,5.20,0.06,0.00,5.16,0.06,-0.03,5.23,0.06,0.03,5.40,0.07,0.21,5.27,0.06,0.08
105,0.20,2,7.60,0.07,7.68,0.08,0.09,7.65,0.08,0.05,7.67,0.08,0.07,8.03,0.09,0.43,7.89,0.09,0.29
105,0.40,1,13.27,0.11,12.87,0.13,-0.39,12.82,0.12,-0.45,13.04,0.12,-0.23,13.20,0.13,-0.07,13.11,0.13,-0.16
105,0.40,2,18.47,0.14,18.55,0.16,0.08,18.69,0.16,0.22,18.31,0.15,-0.16,18.87,0.17,0.40,18.89,0.16,0.41
110,0.20,1,3.64,0.05,3.65,0.05,0.01,3.77,0.05,0.13,3.77,0.05,0.14,3.86,0.06,0.23,3.94,0.06,0.31
110,0.20,2,6.07,0.07,6.28,0.08,0.21,6.05,0.07,-0.02,6.17,0.07,0.10,6.41,0.08,0.34,6.31,0.08,0.24
110,0.40,1,11.09,0.10,11.49,0.12,0.40,11.15,0.12,0.06,11.24,0.12,0.15,11.79,0.12,0.70,11.51,0.13,0.42
110,0.40,2,16.70,0.14,17.01,0.16,0.31,17.11,0.15,0.41,16.95,0.15,0.25,17.66,0.16,0.96,17.40,0.16,0.70
115,0.20,1,2.59,0.04,2.57,0.04,-0.02,2.53,0.04,-0.07,2.70,0.05,0.11,2.75,0.05,0.16,2.62,0.05,0.03
115,0.20,2,4.87,0.06,4.61,0.07,-0.26,4.86,0.06,-0.01,4.84,0.07,-0.02,5.17,0.07,0.30,5.11,0.07,0.24
115,0.40,1,9.75,0.10,9.69,0.12,-0.06,9.80,0.11,0.05,9.83,0.11,0.09,10.20,0.12,0.45,9.98,0.12,0.23
115,0.40,2,15.48,0.13,15.53,0.15,0.04,15.49,0.15,0.01,15.34,0.14,-0.14,16.04,0.16,0.56,15.81,0.16,0.33
120,0.20,1,1.77,0.03,1.83,0.04,0.05,1.81,0.04,0.03,1.79,0.04,0.01,1.97,0.04,0.19,1.90,0.04,0.13
120,0.20,2,3.79,0.05,3.80,0.06,0.01,3.80,0.06,0.01,3.86,0.06,0.07,4.05,0.07,0.25,4.12,0.07,0.33
120,0.40,1,8.29,0.10,8.49,0.11,0.19,8.44,0.10,0.15,8.61,0.11,0.31,8.64,0.11,0.34,8.75,0.11,0.45
120,0.40,2,13.97,0.13,14.05,0.15,0.08,14.16,0.15,0.19,13.92,0.14,-0.05,14.61,0.15,0.64,14.28,0.15,0.31
