S0,sigma,T,Ref Price,Ref StdErr,LGBM Price,LGBM StdErr,LGBM Bias,XGB Price,XGB StdErr,XGB Bias
80,0.20,1,20.30,0.07,20.28,0.05,-0.03,20.17,0.05,-0.13
80,0.20,2,21.31,0.09,20.96,0.07,-0.35,21.03,0.07,-0.29
80,0.40,1,25.29,0.14,24.84,0.12,-0.44,24.69,0.12,-0.60
80,0.40,2,29.34,0.17,28.70,0.14,-0.64,28.86,0.15,-0.48
85,0.20,1,15.92,0.08,15.76,0.06,-0.15,15.93,0.06,0.02
85,0.20,2,17.55,0.09,17.36,0.08,-0.19,17.49,0.08,-0.06
85,0.40,1,22.26,0.14,21.97,0.13,-0.28,21.93,0.12,-0.33
85,0.40,2,26.79,0.17,26.62,0.15,-0.17,26.35,0.14,-0.44
90,0.20,1,12.55,0.08,12.25,0.06,-0.30,12.40,0.07,-0.15
90,0.20,2,14.52,0.10,14.35,0.08,-0.17,14.19,0.08,-0.33
90,0.40,1,19.64,0.14,19.25,0.12,-0.40,19.21,0.12,-0.43
90,0.40,2,24.47,0.17,23.59,0.15,-0.88,23.83,0.14,-0.64
95,0.20,1,9.53,0.08,9.36,0.07,-0.17,9.27,0.07,-0.25
95,0.20,2,11.88,0.09,11.50,0.08,-0.38,11.60,0.08,-0.28
95,0.40,1,16.90,0.13,16.88,0.12,-0.03,16.70,0.12,-0.20
95,0.40,2,22.00,0.17,21.52,0.14,-0.49,21.89,0.15,-0.12
100,0.20,1,7.05,0.07,7.03,0.06,-0.02,6.97,0.06,-0.08
100,0.20,2,9.48,0.09,9.19,0.07,-0.29,9.38,0.08,-0.10
100,0.40,1,14.82,0.13,14.69,0.12,-0.13,14.85,0.12,0.03
100,0.40,2,20.19,0.16,19.95,0.14,-0.24,20.10,0.15,-0.09
105,0.20,1,5.06,0.06,5.02,0.05,-0.04,5.06,0.06,-0.00
105,0.20,2,7.61,0.08,7.59,0.07,-0.02,7.63,0.07,0.02
105,0.40,1,12.82,0.13,12.73,0.11,-0.09,12.68,0.11,-0.14
105,0.40,2,18.30,0.16,18.31,0.14,0.01,17.99,0.14,-0.31
110,0.20,1,3.66,0.05,3.58,0.05,-0.08,3.60,0.05,-0.06
110,0.20,2,6.28,0.08,5.95,0.07,-0.33,6.00,0.07,-0.28
110,0.40,1,11.22,0.12,10.99,0.11,-0.23,11.16,0.11,-0.06
110,0.40,2,16.85,0.16,16.36,0.14,-0.49,16.87,0.14,0.02
115,0.20,1,2.43,0.04,2.52,0.04,0.09,2.49,0.04,0.06
115,0.20,2,4.85,0.07,4.53,0.06,-0.32,4.76,0.06,-0.09
115,0.40,1,9.85,0.11,9.61,0.10,-0.24,9.57,0.10,-0.28
115,0.40,2,15.41,0.15,15.02,0.13,-0.39,15.07,0.14,-0.35
120,0.20,1,1.77,0.04,1.70,0.03,-0.07,1.76,0.03,-0.01
120,0.20,2,3.77,0.06,3.71,0.05,-0.06,3.61,0.05,-0.17
120,0.40,1,8.59,0.11,8.24,0.10,-0.35,8.35,0.10,-0.24
120,0.40,2,14.08,0.15,14.11,0.13,0.03,13.76,0.13,-0.32
