S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,LGBM Price,LGBM StdErr,LGBM Bias,LR Price,LR StdErr,LR Bias
80,0.20,1,20.30,0.05,20.36,0.06,0.06,20.91,0.07,0.60,20.25,0.06,-0.06
80,0.20,2,21.24,0.07,21.27,0.09,0.03,21.73,0.09,0.48,21.14,0.09,-0.11
80,0.40,1,25.16,0.12,25.24,0.14,0.08,25.87,0.14,0.71,25.46,0.14,0.29
80,0.40,2,29.12,0.14,29.47,0.17,0.35,30.01,0.16,0.89,29.78,0.17,0.66
85,0.20,1,16.19,0.06,16.12,0.08,-0.07,16.49,0.07,0.30,16.20,0.07,0.01
85,0.20,2,17.56,0.08,17.64,0.09,0.08,17.97,0.09,0.41,17.63,0.10,0.07
85,0.40,1,22.35,0.12,22.13,0.14,-0.21,22.77,0.14,0.42,22.31,0.14,-0.04
85,0.40,2,26.64,0.15,26.74,0.17,0.11,27.53,0.16,0.90,26.50,0.17,-0.13
90,0.20,1,12.43,0.07,12.42,0.07,-0.01,12.85,0.07,0.42,12.50,0.08,0.07
90,0.20,2,14.48,0.08,14.56,0.09,0.08,14.93,0.09,0.45,14.49,0.10,0.01
90,0.40,1,19.42,0.12,19.49,0.14,0.08,20.03,0.14,0.61,19.36,0.13,-0.06
90,0.40,2,24.33,0.15,24.61,0.17,0.28,25.20,0.16,0.87,24.41,0.17,0.08
95,0.20,1,9.47,0.06,9.61,0.07,0.14,9.87,0.08,0.40,9.50,0.07,0.03
95,0.20,2,11.68,0.08,11.90,0.09,0.23,12.14,0.09,0.47,11.67,0.09,-0.01
95,0.40,1,16.82,0.11,17.01,0.13,0.20,17.70,0.13,0.88,16.77,0.13,-0.04
95,0.40,2,22.11,0.14,22.16,0.16,0.04,22.72,0.16,0.61,22.09,0.16,-0.02
100,0.20,1,6.95,0.06,7.10,0.07,0.15,7.34,0.07,0.40,7.04,0.07,0.09
100,0.20,2,9.54,0.07,9.38,0.09,-0.16,9.99,0.09,0.45,9.60,0.09,0.05
100,0.40,1,14.70,0.11,14.94,0.13,0.24,15.45,0.13,0.75,14.98,0.13,0.28
100,0.40,2,20.35,0.14,20.51,0.16,0.16,20.78,0.16,0.43,20.45,0.16,0.11
105,0.20,1,5.16,0.05,5.18,0.06,0.02,5.43,0.06,0.27,5.07,0.06,-0.09
105,0.20,2,7.70,0.07,7.71,0.08,0.01,8.09,0.08,0.38,7.62,0.08,-0.08
105,0.40,1,12.97,0.11,12.64,0.12,-0.33,13.47,0.12,0.49,13.11,0.13,0.13
105,0.40,2,18.68,0.14,18.26,0.16,-0.42,19.03,0.16,0.35,18.48,0.16,-0.20
110,0.20,1,3.61,0.04,3.62,0.05,0.02,3.96,0.06,0.35,3.69,0.05,0.08
110,0.20,2,6.03,0.06,6.24,0.08,0.21,6.46,0.08,0.44,6.13,0.07,0.10
110,0.40,1,11.19,0.10,11.31,0.12,0.12,11.67,0.12,0.48,11.17,0.12,-0.02
110,0.40,2,16.93,0.14,16.78,0.15,-0.16,17.32,0.15,0.39,16.93,0.15,-0.00
115,0.20,1,2.54,0.04,2.70,0.05,0.16,2.90,0.05,0.36,2.61,0.05,0.08
115,0.20,2,4.81,0.06,4.88,0.07,0.07,5.21,0.07,0.40,4.94,0.07,0.14
115,0.40,1,9.83,0.10,9.83,0.11,-0.00,10.35,0.12,0.52,9.78,0.11,-0.05
115,0.40,2,15.32,0.13,15.37,0.15,0.05,16.09,0.15,0.77,15.29,0.15,-0.03
120,0.20,1,1.78,0.03,1.73,0.04,-0.05,1.89,0.04,0.11,1.83,0.04,0.05
120,0.20,2,3.85,0.05,3.80,0.06,-0.06,4.23,0.07,0.37,3.80,0.06,-0.05
120,0.40,1,8.44,0.09,8.70,0.11,0.25,9.01,0.11,0.57,8.43,0.10,-0.01
120,0.40,2,14.02,0.13,14.13,0.14,0.11,14.48,0.15,0.46,14.19,0.15,0.17
