S0,sigma,T,Ref Price,Ref StdErr,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.20,0.06,20.00,0.03,-0.20,20.00,0.03,-0.20,20.00,0.03,-0.20
80,0.20,2,21.21,0.09,20.75,0.06,-0.46,20.00,0.03,-1.21,20.16,0.03,-1.04
80,0.40,1,25.35,0.14,24.86,0.12,-0.48,23.13,0.08,-2.21,24.14,0.10,-1.21
80,0.40,2,29.41,0.17,28.49,0.14,-0.92,26.00,0.10,-3.41,27.59,0.12,-1.82
85,0.20,1,16.16,0.08,15.79,0.05,-0.37,15.16,0.03,-1.00,15.48,0.04,-0.67
85,0.20,2,17.48,0.09,17.39,0.07,-0.09,15.93,0.04,-1.55,16.68,0.06,-0.80
85,0.40,1,22.17,0.14,21.69,0.11,-0.48,20.49,0.09,-1.68,21.20,0.11,-0.97
85,0.40,2,26.64,0.17,25.89,0.14,-0.75,23.98,0.10,-2.65,25.11,0.13,-1.52
90,0.20,1,12.49,0.08,12.24,0.06,-0.25,11.67,0.05,-0.82,12.04,0.06,-0.45
90,0.20,2,14.43,0.09,14.14,0.07,-0.29,12.82,0.05,-1.61,13.50,0.06,-0.93
90,0.40,1,19.64,0.14,18.91,0.12,-0.73,17.90,0.10,-1.73,18.58,0.11,-1.06
90,0.40,2,24.20,0.17,23.58,0.14,-0.62,21.28,0.10,-2.92,23.28,0.13,-0.93
95,0.20,1,9.63,0.07,9.33,0.06,-0.30,8.63,0.05,-1.00,9.13,0.06,-0.50
95,0.20,2,11.81,0.09,11.57,0.08,-0.25,10.45,0.06,-1.37,11.22,0.07,-0.60
95,0.40,1,16.83,0.13,16.62,0.11,-0.20,15.74,0.10,-1.09,16.43,0.11,-0.39
95,0.40,2,22.08,0.16,21.63,0.14,-0.45,19.97,0.11,-2.11,20.73,0.13,-1.35
100,0.20,1,7.01,0.07,6.89,0.06,-0.12,6.34,0.05,-0.67,6.92,0.06,-0.09
100,0.20,2,9.63,0.08,9.25,0.07,-0.38,8.43,0.06,-1.19,8.89,0.07,-0.74
100,0.40,1,14.81,0.12,14.36,0.11,-0.45,13.58,0.10,-1.23,14.33,0.11,-0.48
100,0.40,2,20.16,0.16,19.71,0.14,-0.45,18.20,0.11,-1.96,19.39,0.13,-0.77
105,0.20,1,5.23,0.06,5.06,0.05,-0.17,4.73,0.05,-0.50,4.98,0.05,-0.25
105,0.20,2,7.79,0.08,7.43,0.07,-0.36,6.71,0.06,-1.08,7.26,0.06,-0.53
105,0.40,1,12.79,0.12,12.70,0.11,-0.09,11.74,0.09,-1.05,12.38,0.11,-0.41
105,0.40,2,18.51,0.16,17.54,0.13,-0.97,16.18,0.11,-2.33,17.64,0.13,-0.87
110,0.20,1,3.69,0.05,3.54,0.04,-0.15,3.37,0.04,-0.32,3.45,0.04,-0.24
110,0.20,2,5.93,0.07,6.05,0.06,0.13,5.35,0.05,-0.58,5.75,0.06,-0.18
110,0.40,1,11.45,0.12,11.15,0.11,-0.29,10.48,0.09,-0.97,10.68,0.10,-0.76
110,0.40,2,16.87,0.15,16.36,0.13,-0.51,14.88,0.11,-1.98,16.08,0.13,-0.79
115,0.20,1,2.66,0.05,2.57,0.04,-0.09,2.35,0.04,-0.31,2.46,0.04,-0.20
115,0.20,2,4.70,0.07,4.72,0.06,0.02,4.25,0.05,-0.45,4.58,0.06,-0.12
115,0.40,1,9.87,0.11,9.39,0.10,-0.48,8.85,0.09,-1.02,9.38,0.10,-0.49
115,0.40,2,15.55,0.15,14.94,0.13,-0.61,13.61,0.11,-1.94,14.54,0.12,-1.01
120,0.20,1,1.73,0.04,1.71,0.03,-0.02,1.60,0.03,-0.13,1.71,0.03,-0.02
120,0.20,2,3.94,0.06,3.63,0.05,-0.31,3.32,0.04,-0.63,3.53,0.05,-0.42
120,0.40,1,8.33,0.10,8.34,0.09,0.01,7.74,0.08,-0.59,8.30,0.09,-0.03
120,0.40,2,14.24,0.15,13.47,0.13,-0.76,12.31,0.10,-1.93,13.29,0.12,-0.95
