S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.28,0.06,20.32,0.07,0.03,20.49,0.06,0.20,20.05,0.04,-0.23,20.71,0.07,0.42,20.34,0.05,0.05
80,0.20,2,21.15,0.08,21.22,0.09,0.07,21.67,0.08,0.51,20.53,0.05,-0.62,21.72,0.09,0.57,21.11,0.07,-0.04
80,0.40,1,25.25,0.12,25.17,0.14,-0.07,25.54,0.14,0.29,24.60,0.11,-0.64,25.75,0.14,0.51,25.35,0.13,0.11
80,0.40,2,29.27,0.15,29.24,0.18,-0.03,29.54,0.16,0.27,28.04,0.12,-1.23,30.09,0.17,0.82,29.13,0.15,-0.14
85,0.20,1,16.07,0.07,16.07,0.07,-0.01,16.18,0.07,0.10,15.68,0.05,-0.39,16.46,0.08,0.39,16.16,0.06,0.09
85,0.20,2,17.60,0.08,17.54,0.10,-0.06,18.07,0.09,0.47,16.93,0.06,-0.67,18.10,0.09,0.49,17.37,0.08,-0.23
85,0.40,1,22.19,0.12,21.94,0.14,-0.25,22.54,0.14,0.35,21.52,0.11,-0.67,22.84,0.14,0.64,22.24,0.13,0.05
85,0.40,2,26.51,0.14,26.90,0.17,0.40,26.97,0.16,0.47,25.66,0.13,-0.85,27.51,0.17,1.00,26.86,0.15,0.35
90,0.20,1,12.64,0.07,12.51,0.08,-0.13,12.67,0.07,0.04,12.34,0.06,-0.30,12.98,0.08,0.35,12.66,0.07,0.03
90,0.20,2,14.43,0.08,14.36,0.10,-0.07,14.59,0.09,0.16,13.91,0.07,-0.52,14.94,0.10,0.51,14.57,0.08,0.14
90,0.40,1,19.41,0.12,19.74,0.14,0.33,19.68,0.14,0.27,19.11,0.12,-0.30,20.16,0.14,0.75,19.63,0.13,0.22
90,0.40,2,24.28,0.15,24.33,0.17,0.04,24.58,0.16,0.30,23.54,0.13,-0.74,25.05,0.17,0.77,24.38,0.16,0.10
95,0.20,1,9.52,0.07,9.57,0.07,0.04,9.59,0.07,0.06,9.39,0.06,-0.14,9.80,0.08,0.28,9.66,0.07,0.14
95,0.20,2,11.76,0.08,11.76,0.09,0.00,11.89,0.09,0.13,11.50,0.07,-0.26,12.18,0.09,0.43,11.95,0.09,0.20
95,0.40,1,17.14,0.12,17.11,0.13,-0.04,17.08,0.13,-0.06,16.75,0.12,-0.39,17.43,0.13,0.29,17.15,0.13,0.01
95,0.40,2,22.00,0.14,22.18,0.17,0.18,22.50,0.16,0.49,21.19,0.13,-0.82,22.74,0.17,0.74,22.46,0.16,0.46
100,0.20,1,7.10,0.06,6.99,0.07,-0.11,7.14,0.06,0.04,7.07,0.06,-0.03,7.31,0.07,0.21,7.23,0.07,0.13
100,0.20,2,9.56,0.08,9.44,0.09,-0.12,9.59,0.08,0.03,9.14,0.07,-0.42,10.03,0.09,0.47,9.77,0.08,0.21
100,0.40,1,14.73,0.11,14.73,0.13,0.00,15.14,0.13,0.41,14.64,0.11,-0.09,15.15,0.13,0.42,15.20,0.13,0.47
100,0.40,2,20.28,0.14,20.25,0.16,-0.03,20.52,0.16,0.24,19.60,0.14,-0.68,20.90,0.16,0.62,20.39,0.15,0.11
105,0.20,1,5.14,0.05,5.22,0.06,0.08,5.15,0.06,0.01,5.10,0.05,-0.04,5.49,0.07,0.35,5.35,0.06,0.21
105,0.20,2,7.65,0.07,7.68,0.08,0.03,7.60,0.08,-0.05,7.55,0.07,-0.10,8.12,0.09,0.47,7.86,0.08,0.22
105,0.40,1,13.07,0.11,13.05,0.13,-0.01,13.01,0.12,-0.05,12.73,0.11,-0.34,13.67,0.13,0.61,13.47,0.13,0.40
105,0.40,2,18.55,0.14,18.50,0.16,-0.05,18.77,0.15,0.22,17.86,0.13,-0.69,19.19,0.16,0.64,18.72,0.16,0.17
110,0.20,1,3.72,0.05,3.69,0.05,-0.03,3.74,0.05,0.01,3.70,0.05,-0.03,3.87,0.06,0.15,3.84,0.06,0.12
110,0.20,2,6.05,0.06,6.00,0.07,-0.06,6.23,0.07,0.17,5.89,0.07,-0.17,6.50,0.08,0.45,6.40,0.08,0.34
110,0.40,1,11.12,0.10,11.17,0.12,0.05,11.41,0.11,0.29,11.21,0.11,0.09,11.77,0.12,0.65,11.57,0.12,0.45
110,0.40,2,16.78,0.13,16.65,0.15,-0.13,17.15,0.15,0.37,16.62,0.13,-0.16,17.63,0.16,0.85,17.31,0.15,0.53
115,0.20,1,2.58,0.04,2.57,0.05,-0.02,2.63,0.04,0.04,2.71,0.04,0.13,2.86,0.05,0.28,2.82,0.05,0.24
115,0.20,2,4.82,0.06,4.95,0.07,0.13,4.83,0.06,0.01,4.71,0.06,-0.11,5.21,0.07,0.39,5.08,0.07,0.26
115,0.40,1,9.82,0.10,9.61,0.11,-0.21,9.83,0.11,0.01,9.72,0.10,-0.10,10.35,0.12,0.54,10.01,0.12,0.19
115,0.40,2,15.25,0.13,15.40,0.15,0.15,15.54,0.15,0.29,15.42,0.13,0.17,16.02,0.15,0.77,15.79,0.15,0.54
120,0.20,1,1.77,0.03,1.78,0.04,0.01,1.75,0.03,-0.02,1.87,0.04,0.11,1.95,0.04,0.18,1.90,0.04,0.13
120,0.20,2,3.84,0.05,3.84,0.06,0.00,3.82,0.06,-0.02,3.81,0.06,-0.03,4.10,0.07,0.26,4.11,0.07,0.27
120,0.40,1,8.42,0.09,8.53,0.11,0.11,8.41,0.10,-0.02,8.56,0.10,0.14,8.97,0.11,0.55,8.89,0.11,0.46
120,0.40,2,14.05,0.13,14.42,0.15,0.37,14.11,0.14,0.06,14.04,0.13,-0.02,14.76,0.15,0.71,14.34,0.15,0.29
